KO_producer,metabolite,producer_rxn,KO_consumer,consumer_rxn
K10680,C00001,R08014,K03269,R04549
K10680,C00001,R08014,K03426,R00103
K10680,C00001,R08014,K03520,R11168
K10680,C00001,R08014,K04041,R00762
K10680,C00001,R08014,K04765,R00087
K10680,C00001,R08014,K05349,R00026
K10680,C00001,R08014,K06949,R00615
K10680,C00001,R08014,K07407,R01101
K10680,C00001,R08014,K08966,R07394
K10680,C00001,R08014,K11991,R10223
K10680,C00001,R08014,K12111,R01678
K10680,C00001,R08014,K12373,R00022
K10680,C00001,R08014,K13381,R01206
K10680,C00001,R08014,K16165,R01085
K10680,C00001,R08014,K22927,R12345
K10680,C00001,R08014,K23518,R12390
K10680,C00001,R08014,K27502,R13291
K11263,C00009,R00742,K00145,R03443
K11263,C00009,R00742,K00147,R03313
K11263,C00009,R00742,K00688,R02111
K11263,C00009,R00742,K00705,R02111
K11263,C00009,R00742,K00789,R00177
K11645,C00118,R01068,K00615,R01067
K11991,C00014,R10223,K01951,R01230
K11991,C00014,R10223,K20934,R09799
K11991,C00014,R10223,K23393,R05030
K12111,C00267,R01678,K01785,R01602
K12373,C00140,R00022,K07102,R08968
K13010,C00025,R10460,K00265,R00114
K13010,C00025,R10460,K00266,R00114
K13010,C00025,R10460,K00284,R00021
K13010,C00025,R10460,K00836,R06977
K13381,C00140,R01206,K07102,R08968
K15894,C00001,R09697,K00012,R00286
K15894,C00001,R09697,K00066,R00880
K15894,C00001,R09697,K00138,R00711
K15894,C00001,R09697,K00200,R03015
K15894,C00001,R09697,K00381,R00858
K15894,C00001,R09697,K00600,R00945
K15894,C00001,R09697,K01007,R00199
K15894,C00001,R09697,K01060,R03062
K15894,C00001,R09697,K01077,R02135
K15894,C00001,R09697,K01081,R00183
K15894,C00001,R09697,K01119,R01562
K15894,C00001,R09697,K01129,R01856
K15894,C00001,R09697,K01139,R00336
K15894,C00001,R09697,K01179,R06200
K15894,C00001,R09697,K01222,R00839
K15894,C00001,R09697,K01241,R00182
K15894,C00001,R09697,K01256,R00899
K15894,C00001,R09697,K01430,R00131
K15894,C00001,R09697,K01448,R04112
K15894,C00001,R09697,K01950,R00257
K15894,C00001,R09697,K01952,R04463
K15894,C00001,R09697,K01953,R00578
K15894,C00001,R09697,K01955,R00256
K15894,C00001,R09697,K02549,R04031
K15894,C00001,R09697,K02564,R00765
K15894,C00001,R09697,K03269,R04549
K15894,C00001,R09697,K03426,R00103
K15894,C00001,R09697,K03520,R11168
K15894,C00001,R09697,K04041,R00762
K15894,C00001,R09697,K04765,R00087
K15894,C00001,R09697,K05349,R00026
K15894,C00001,R09697,K06949,R00615
K15894,C00001,R09697,K07407,R01101
K15894,C00001,R09697,K08966,R07394
K15894,C00001,R09697,K11991,R10223
K15894,C00001,R09697,K12111,R01678
K15894,C00001,R09697,K12373,R00022
K15894,C00001,R09697,K13381,R01206
K15894,C00001,R09697,K16165,R01085
K15894,C00001,R09697,K22927,R12345
K15894,C00001,R09697,K23518,R12390
K15894,C00001,R09697,K27502,R13291
K16165,C00022,R01085,K00873,R00200
K16165,C00022,R01085,K01007,R00199
K16165,C00022,R01085,K01666,R00750
K16165,C00022,R01085,K18365,R00750
K18292,C00024,R00237,K01961,R00742
K18292,C00024,R00237,K03737,R01196
K18292,C00024,R00237,K11263,R00742
K18292,C00022,R00237,K00873,R00200
K18292,C00022,R00237,K01007,R00199
K18292,C00022,R00237,K01666,R00750
K18292,C00022,R00237,K18365,R00750
K20934,C00001,R09799,K00012,R00286
K20934,C00001,R09799,K00066,R00880
K20934,C00001,R09799,K00138,R00711
K20934,C00001,R09799,K00200,R03015
K20934,C00001,R09799,K00381,R00858
K20934,C00001,R09799,K00600,R00945
K20934,C00001,R09799,K01007,R00199
K20934,C00001,R09799,K01060,R03062
K20934,C00001,R09799,K01077,R02135
K20934,C00001,R09799,K01081,R00183
K20934,C00001,R09799,K01119,R01562
K20934,C00001,R09799,K01129,R01856
K20934,C00001,R09799,K01139,R00336
K20934,C00001,R09799,K01179,R06200
K20934,C00001,R09799,K01222,R00839
K20934,C00001,R09799,K01241,R00182
K20934,C00001,R09799,K01256,R00899
K20934,C00001,R09799,K01430,R00131
K20934,C00001,R09799,K01448,R04112
K20934,C00001,R09799,K01950,R00257
K20934,C00001,R09799,K01952,R04463
K20934,C00001,R09799,K01953,R00578
K20934,C00001,R09799,K01955,R00256
K20934,C00001,R09799,K02549,R04031
K20934,C00001,R09799,K02564,R00765
K20934,C00001,R09799,K03269,R04549
K20934,C00001,R09799,K03426,R00103
K20934,C00001,R09799,K03520,R11168
K20934,C00001,R09799,K04041,R00762
K20934,C00001,R09799,K04765,R00087
K20934,C00001,R09799,K05349,R00026
K20934,C00001,R09799,K06949,R00615
K20934,C00001,R09799,K07407,R01101
K20934,C00001,R09799,K08966,R07394
K20934,C00001,R09799,K11991,R10223
K20934,C00001,R09799,K12111,R01678
K20934,C00001,R09799,K12373,R00022
K20934,C00001,R09799,K13381,R01206
K20934,C00001,R09799,K16165,R01085
K20934,C00001,R09799,K22927,R12345
K20934,C00001,R09799,K23518,R12390
K20934,C00001,R09799,K27502,R13291
K21029,C00013,R07459,K00767,R03348
K21029,C00013,R07459,K00789,R00177
K21636,C00286,R11633,K01129,R01856
K21636,C00011,R11633,K00767,R03348
K21636,C00011,R11633,K03737,R01196
K21636,C00001,R11633,K00012,R00286
K21636,C00001,R11633,K00066,R00880
K21636,C00001,R11633,K00138,R00711
K21636,C00001,R11633,K00200,R03015
K21636,C00001,R11633,K00381,R00858
K21636,C00001,R11633,K00600,R00945
K21636,C00001,R11633,K01007,R00199
K21636,C00001,R11633,K01060,R03062
K21636,C00001,R11633,K01077,R02135
K21636,C00001,R11633,K01081,R00183
K21636,C00001,R11633,K01119,R01562
K21636,C00001,R11633,K01129,R01856
K21636,C00001,R11633,K01139,R00336
K21636,C00001,R11633,K01179,R06200
K21636,C00001,R11633,K01222,R00839
K21636,C00001,R11633,K01241,R00182
K21636,C00001,R11633,K01256,R00899
K21636,C00001,R11633,K01430,R00131
K21636,C00001,R11633,K01448,R04112
K21636,C00001,R11633,K01950,R00257
K21636,C00001,R11633,K01952,R04463
K21636,C00001,R11633,K01953,R00578
K21636,C00001,R11633,K01955,R00256
K21636,C00001,R11633,K02549,R04031
K21636,C00001,R11633,K02564,R00765
K21636,C00001,R11633,K03269,R04549
K21636,C00001,R11633,K03426,R00103
K21636,C00001,R11633,K03520,R11168
K21636,C00001,R11633,K04041,R00762
K21636,C00001,R11633,K04765,R00087
K21636,C00001,R11633,K05349,R00026
K21636,C00001,R11633,K06949,R00615
K21636,C00001,R11633,K07407,R01101
K21636,C00001,R11633,K08966,R07394
K21636,C00001,R11633,K11991,R10223
K21636,C00001,R11633,K12111,R01678
K21636,C00001,R11633,K12373,R00022
K21636,C00001,R11633,K13381,R01206
K21636,C00001,R11633,K16165,R01085
K21636,C00001,R11633,K22927,R12345
K21636,C00001,R11633,K23518,R12390
K21636,C00001,R11633,K27502,R13291
K23351,C00011,R03028,K00767,R03348
K23351,C00011,R03028,K03737,R01196
K23393,C00009,R05030,K00145,R03443
K23393,C00009,R05030,K00147,R03313
K23393,C00009,R05030,K00688,R02111
K23393,C00009,R05030,K00705,R02111
K23393,C00009,R05030,K00789,R00177
K23518,C00033,R12390,K01895,R00235
K24300,C00001,R10266,K00012,R00286
K24300,C00001,R10266,K00066,R00880
K24300,C00001,R10266,K00138,R00711
K24300,C00001,R10266,K00200,R03015
K24300,C00001,R10266,K00381,R00858
K24300,C00001,R10266,K00600,R00945
K24300,C00001,R10266,K01007,R00199
K24300,C00001,R10266,K01060,R03062
K24300,C00001,R10266,K01077,R02135
K24300,C00001,R10266,K01081,R00183
K24300,C00001,R10266,K01119,R01562
K24300,C00001,R10266,K01129,R01856
K24300,C00001,R10266,K01139,R00336
K24300,C00001,R10266,K01179,R06200
K24300,C00001,R10266,K01222,R00839
K24300,C00001,R10266,K01241,R00182
K24300,C00001,R10266,K01256,R00899
K24300,C00001,R10266,K01430,R00131
K24300,C00001,R10266,K01448,R04112
K24300,C00001,R10266,K01950,R00257
K24300,C00001,R10266,K01952,R04463
K24300,C00001,R10266,K01953,R00578
K24300,C00001,R10266,K01955,R00256
K24300,C00001,R10266,K02549,R04031
K24300,C00001,R10266,K02564,R00765
K24300,C00001,R10266,K03269,R04549
K24300,C00001,R10266,K03426,R00103
K24300,C00001,R10266,K03520,R11168
K24300,C00001,R10266,K04041,R00762
K24300,C00001,R10266,K04765,R00087
K24300,C00001,R10266,K05349,R00026
K24300,C00001,R10266,K06949,R00615
K24300,C00001,R10266,K07407,R01101
K24300,C00001,R10266,K08966,R07394
K24300,C00001,R10266,K11991,R10223
K24300,C00001,R10266,K12111,R01678
K24300,C00001,R10266,K12373,R00022
K24300,C00001,R10266,K13381,R01206
K24300,C00001,R10266,K16165,R01085
K24300,C00001,R10266,K22927,R12345
K24300,C00001,R10266,K23518,R12390
K24300,C00001,R10266,K27502,R13291
K27502,C00441,R13291,K00836,R06977
K27502,C00005,R13291,K03465,R06613
K27502,C00005,R13291,K10680,R08014
K27502,C00080,R13291,K00342,R11945
K27502,C00080,R13291,K01611,R00178
K27502,C00080,R13291,K03465,R06613
K27502,C00080,R13291,K03737,R01196
K27502,C00080,R13291,K03809,R02964
K27502,C00080,R13291,K06441,R00019
K27502,C00080,R13291,K10680,R08014
