nodes_added,avg_path_virtual
1,
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0444444444444445
11,1.0909090909090908
12,1.1363636363636365
13,1.1538461538461537
14,1.164835164835165
15,1.1428571428571428
16,1.125
17,1.1102941176470589
18,1.1437908496732025
19,1.152046783625731
20,1.1578947368421053
21,1.161904761904762
22,1.147186147186147
23,1.134387351778656
24,1.1376811594202898
25,1.14
26,1.1292307692307693
27,1.1196581196581197
28,1.119047619047619
29,1.1108374384236452
30,1.1057471264367815
31,1.0989247311827957
32,1.1048387096774193
33,1.0984848484848484
34,1.0926916221033869
35,1.0991596638655463
36,1.1063492063492064
37,1.1216216216216217
38,1.128022759601707
39,1.1349527665317138
40,1.1423076923076922
41,1.15
42,1.1579558652729385
43,1.1661129568106312
44,1.1744186046511629
45,1.1828282828282828
46,1.191304347826087
47,1.1998149861239593
48,1.2083333333333333
49,1.2168367346938775
50,1.2261224489795919
51,1.2352941176470589
52,1.2428355957767723
53,1.2518142235123366
54,1.2606568832983926
55,1.2693602693602695
56,1.277922077922078
57,1.2857142857142858
58,1.294010889292196
59,1.2840444184687316
60,1.2745762711864406
61,1.2655737704918033
62,1.273400317292438
63,1.2811059907834101
64,1.2886904761904763
65,1.2961538461538462
66,1.3034965034965036
67,1.310719131614654
68,1.317822651448639
69,1.3086104006820118
70,1.2997929606625258
71,1.2913480885311872
72,1.2832550860719876
73,1.2754946727549468
74,1.2680488707885968
75,1.2771171171171172
76,1.2719298245614035
77,1.2676008202323992
78,1.2634032634032635
79,1.2567348263550795
80,1.2664556962025317
81,1.2657407407407408
82,1.2649804275820535
83,1.2744637084925066
84,1.2814113597246128
85,1.2882352941176471
86,1.2965800273597812
87,1.3039294306335205
88,1.311128526645768
89,1.3181818181818181
90,1.325343320848939
91,1.3323565323565323
92,1.339464882943144
93,1.3464235624123422
94,1.3518645618851521
95,1.3569988801791713
96,1.363377192982456
97,1.3563144329896908
98,1.3496738901746266
99,1.3434343434343434
100,1.3488888888888888
101,1.342970297029703
102,1.3488642981945254
103,1.3540833809251855
104,1.3592233009708738
105,1.3641025641025641
106,1.3689128481581312
107,1.3736554399576795
108,1.379023883696781
109,1.3841318382602785
110,1.3898248540450375
111,1.3954135954135953
112,1.4002574002574002
113,1.3941213653603035
114,1.398540599285825
115,1.4035087719298245
116,1.4082458770614692
117,1.4124668435013263
118,1.4173547732869767
119,1.4218772254664578
120,1.4264705882352942
121,1.4308539944903582
122,1.4351713859910582
123,1.4394242303078768
124,1.443876212955678
125,1.4481290322580644
126,1.4526984126984126
127,1.4570678665166854
128,1.4562007874015748
129,1.460392441860465
130,1.4641621943947525
131,1.4677627715795654
132,1.471200555170021
133,1.475393028024607
134,1.4795196947592864
135,1.4819237147595357
136,1.4843137254901961
137,1.4881923572348648
138,1.4921189040516238
139,1.495881555625065
140,1.4996916752312435
141,1.503242147922999
142,1.5069423634002597
143,1.51058800354575
144,1.5141802641802642
145,1.51772030651341
146,1.5211147850732167
147,1.524368651570217
148,1.5275785990071704
149,1.5309269000544168
150,1.534049217002237
151,1.537130242825607
152,1.5399965144649703
153,1.543171654626763
154,1.5463033698327815
155,1.5493087557603686
156,1.552191894127378
157,1.5551200391964723
158,1.558090784487624
159,1.561022211607356
160,1.5638364779874214
161,1.5629658385093168
162,1.5620734606241853
163,1.5611603423464364
164,1.5640430944186743
165,1.5668144863266815
166,1.5695509309967142
167,1.5723252290599523
168,1.5750641573994868
169,1.5777683854606932
170,1.580438565958928
171,1.5830753353973168
