nodes_added,avg_path_random
1,
2,
3,
4,
5,
6,1.0
7,1.0
8,1.3333333333333333
9,1.5
10,1.5
11,1.8
12,1.8
13,1.8666666666666667
14,1.8666666666666667
15,1.8666666666666667
16,1.8666666666666667
17,1.8666666666666667
18,1.8666666666666667
19,1.7619047619047619
20,1.7619047619047619
21,1.7142857142857142
22,1.8
23,1.8
24,1.8
25,1.7454545454545454
26,1.7454545454545454
27,1.7454545454545454
28,1.7454545454545454
29,1.7454545454545454
30,1.696969696969697
31,1.6666666666666667
32,1.6666666666666667
33,1.6666666666666667
34,1.6593406593406594
35,2.1894736842105265
36,2.1809523809523808
37,2.1809523809523808
38,2.1809523809523808
39,2.168831168831169
40,2.1264822134387353
41,2.119565217391304
42,2.3384615384615386
43,2.3384615384615386
44,2.3276353276353277
45,2.8324420677361855
46,2.712605042016807
47,2.657142857142857
48,2.657142857142857
49,2.7267267267267266
50,2.7267267267267266
51,2.7267267267267266
52,2.7155049786628735
53,2.6828609986504723
54,2.6828609986504723
55,2.674358974358974
56,2.709756097560976
57,2.694541231126597
58,2.718715393133998
59,2.718715393133998
60,2.707188160676533
61,2.707188160676533
62,2.707188160676533
63,2.703381642512077
64,2.741905642923219
65,2.7960992907801416
66,2.772108843537415
67,2.772108843537415
68,2.8359183673469386
69,2.8423529411764705
70,2.863499245852187
71,2.8824383164005805
72,2.8798043326345213
73,2.8585858585858586
74,2.838311688311688
75,2.889724310776942
76,2.889724310776942
77,2.882637628554144
78,2.663939216832262
79,2.6864406779661016
80,2.66525647805394
81,2.66525647805394
82,2.685611879160266
83,2.685611879160266
84,2.7544642857142856
85,2.7544642857142856
86,2.7432692307692306
87,2.732400932400932
88,2.720940750791497
89,2.757243195785777
90,2.515151515151515
91,2.51249594287569
92,2.508227848101266
93,2.5040123456790124
94,2.5130984643179763
95,2.5045548045841906
96,2.5045548045841906
97,2.4962707974756166
98,2.480952380952381
99,2.475512995896033
100,2.467789361133387
101,2.418756530825496
102,2.4121552604698673
103,2.4202247191011237
104,2.4304825609173437
105,2.443431510051426
106,2.4381148478609016
107,2.432922732362822
108,2.432894736842105
109,2.4231099656357387
110,2.418472543656638
111,2.4188827045969905
112,2.4145454545454546
113,2.3744554455445543
114,2.324403028538148
115,2.316390633923472
116,2.311613144137416
117,2.308241758241758
118,2.303683737646002
119,2.296949391641686
120,2.2988923502942193
121,2.2988923502942193
122,2.3010533469249066
123,2.2979149291075895
124,2.294840294840295
125,2.2871621621621623
126,2.2914032869785084
127,2.2914032869785084
128,2.2935879521813383
129,2.2774980930587336
130,2.2752623688155924
131,2.2714412024756854
132,2.271765898884543
133,2.264919527132887
134,2.384229779162715
135,2.380247900839664
136,2.3864516129032256
137,2.37482814648169
138,2.3777066929133857
139,2.367126937984496
140,2.3601669648181276
141,2.367116852613036
142,2.340966921119593
143,2.338801549327865
144,2.3319492761755134
145,2.3282476506357104
146,2.319498910675381
147,2.319498910675381
148,2.321704594246458
149,2.3258224902147466
150,2.3220727765613596
151,2.3118191161356627
152,2.307801418439716
153,2.3112576166217162
154,2.312518467448045
155,2.3097319347319347
156,2.30411877394636
157,2.297401983939537
158,2.3119932904668716
159,2.3075013789299503
160,2.3141665155087976
161,2.31248322147651
162,2.308962472406181
163,2.308962472406181
164,2.3165737190658766
165,2.3185414516683864
166,2.3053221288515404
167,2.306828655215752
168,2.302315963606286
169,2.2989547607382
170,2.301056196081593
171,2.306682389937107
172,2.3066770186335406
173,2.304961275975769
174,2.301901083087177
175,2.305925482567709
176,2.305691056910569
177,2.297699890470975
178,2.2983190246014
