id,EC,type
K00568,2.1.1.222;2.1.1.64,enzyme
K00013,1.1.1.23,enzyme
K23976,,enzyme
K11784,1.21.98.1,enzyme
K07309,1.97.1.9,enzyme
K01661,4.1.3.36,enzyme
K13942,1.12.98.2,enzyme
K19002,2.4.1.337,enzyme
K06966,3.2.2.10,enzyme
K00955,2.7.1.25;2.7.7.4,enzyme
K00946,2.7.4.16,enzyme
K00891,2.7.1.71,enzyme
K17103,2.7.8.8,enzyme
K04072,1.1.1.1;1.2.1.10,enzyme
K01962,2.1.3.15;6.4.1.2,enzyme
K18430,2.5.1.101,enzyme
K13069,2.7.7.65,enzyme
K00318,1.5.5.2,enzyme
K01478,3.5.3.6,enzyme
K02586,1.18.6.1,enzyme
K20036,4.2.1.155,enzyme
K01495,3.5.4.16,enzyme
K00794,2.5.1.78,enzyme
K01029,2.8.3.5,enzyme
K22187,,enzyme
K24042,1.5.1.54;2.1.1.13,enzyme
K01487,3.5.4.3,enzyme
K01775,5.1.1.1,enzyme
K01008,2.7.9.3,enzyme
K02431,5.1.3.29,enzyme
K00864,2.7.1.30,enzyme
K01760,4.4.1.13,enzyme
K06045,4.2.1.129;5.4.99.17,enzyme
K02773,2.7.1.200,enzyme
K26071,,enzyme
K01458,3.5.1.68,enzyme
K21782,1.3.8.14,enzyme
K01011,2.8.1.1;2.8.1.2,enzyme
K13498,4.1.1.48;5.3.1.24,enzyme
K23518,3.1.1.106,enzyme
K06221,1.1.1.346,enzyme
K02746,,enzyme
K00130,1.2.1.8,enzyme
K17884,2.7.8.39,enzyme
K01571,7.2.4.2,enzyme
K00759,2.4.2.7,enzyme
K01733,4.2.3.1,enzyme
K00010,1.1.1.18;1.1.1.369,enzyme
K27542,3.5.3.27;4.3.1.12,enzyme
K13552,1.1.3.43,enzyme
K00526,1.17.4.1,enzyme
K01426,3.5.1.4,enzyme
K00381,1.8.1.2,enzyme
K03476,,enzyme
K01596,4.1.1.32,enzyme
K11175,2.1.2.2,enzyme
K01644,4.1.3.34,enzyme
K21062,3.5.4.22,enzyme
K01720,4.2.1.79,enzyme
K00283,1.4.4.2,enzyme
K01737,4.1.2.50;4.2.3.12,enzyme
K00940,2.7.4.6,enzyme
K01012,2.8.1.6,enzyme
K01633,1.13.11.81;4.1.2.25;5.1.99.8,enzyme
K05601,1.7.99.1,enzyme
K03750,2.10.1.1,enzyme
K04034,1.21.98.3,enzyme
K01968,6.4.1.4,enzyme
K11178,1.17.1.4,enzyme
K01601,4.1.1.39,enzyme
K22015,1.17.98.4;1.17.98.5,enzyme
K00979,2.7.7.38,enzyme
K00966,2.7.7.13,enzyme
K01497,3.5.4.25,enzyme
K00945,2.7.4.25,enzyme
K02761,,enzyme
K00457,1.13.11.27,enzyme
K02690,1.97.1.12,enzyme
K22270,1.14.13.24,enzyme
K02298,7.1.1.3,enzyme
K00057,1.1.1.94,enzyme
K11177,1.17.1.4,enzyme
K07307,,enzyme
K10215,,enzyme
K11755,3.5.4.19;3.6.1.31,enzyme
K14136,2.4.2.45,enzyme
K00112,1.1.5.3,enzyme
K04720,4.1.1.81,enzyme
K00024,1.1.1.37,enzyme
K00167,1.2.4.4,enzyme
K14654,1.1.1.302,enzyme
K22205,3.13.2.3,enzyme
K01077,3.1.3.1,enzyme
K21832,1.14.13.251,enzyme
K11533,,enzyme
K09474,3.1.3.2,enzyme
K12972,1.1.1.79;1.1.1.81,enzyme
K00841,,enzyme
K00605,2.1.2.10,enzyme
K23393,6.3.5.13,enzyme
K00768,2.4.2.21,enzyme
K01093,3.1.3.2;3.1.3.26,enzyme
K02612,,enzyme
K00995,2.7.8.5,enzyme
K18661,6.2.1.76,enzyme
K07812,1.7.2.3,enzyme
K12255,3.5.3.7,enzyme
K01933,6.3.3.1,enzyme
K00965,2.7.7.12,enzyme
K00899,2.7.1.100,enzyme
K06720,4.2.1.108,enzyme
K03271,5.3.1.28,enzyme
K03338,2.7.1.92,enzyme
K01761,4.4.1.11,enzyme
K18912,1.14.99.50,enzyme
K02798,2.7.1.197,enzyme
K06881,3.1.13.3;3.1.3.7,enzyme
K00879,2.7.1.51,enzyme
K04019,,enzyme
K03270,3.1.3.45,enzyme
K14441,2.8.4.4,enzyme
K21064,3.1.3.104,enzyme
K23269,6.3.5.3,enzyme
K08357,,enzyme
K11991,3.5.4.33,enzyme
K03334,1.4.3.2,enzyme
K15922,3.2.1.199,enzyme
K09128,4.2.1.182,enzyme
K01803,5.3.1.1,enzyme
K01520,3.6.1.23,enzyme
K00566,2.8.1.13,enzyme
K00384,1.8.1.9,enzyme
K00564,2.1.1.172,enzyme
K00758,2.4.2.4,enzyme
K02609,1.14.13.149,enzyme
K22601,2.1.3.5,enzyme
K18292,4.1.3.25,enzyme
K00005,1.1.1.6,enzyme
K00248,1.3.8.1,enzyme
K09828,1.3.1.72,enzyme
K00303,1.5.3.1;1.5.3.24,enzyme
K09699,2.3.1.168,enzyme
K02364,6.2.1.72;6.3.2.14,enzyme
K09953,,enzyme
K10764,,enzyme
K08302,4.1.2.40,enzyme
K15915,2.7.8.36,enzyme
K01665,2.6.1.85,enzyme
K08354,,enzyme
K01473,3.5.2.14,enzyme
K00467,1.13.12.4,enzyme
K01858,5.5.1.4,enzyme
K10960,1.3.1.111;1.3.1.83,enzyme
K02795,,enzyme
K15914,2.4.1.290,enzyme
K17285,1.8.3.4,enzyme
K18383,4.1.2.61,enzyme
K01442,3.5.1.24,enzyme
K08591,2.3.1.275,enzyme
K02796,,enzyme
K00263,1.4.1.9,enzyme
K04748,,enzyme
K01685,4.2.1.7,enzyme
K10220,4.2.1.83,enzyme
K17828,1.3.1.14,enzyme
K02502,,enzyme
K11783,3.2.2.26,enzyme
K08963,5.3.1.23,enzyme
K22129,2.7.1.219;2.7.1.220,enzyme
K01057,3.1.1.31,enzyme
K01451,3.5.1.32,enzyme
K00857,2.7.1.21,enzyme
K19956,,enzyme
K00765,2.4.2.17,enzyme
K01053,3.1.1.17,enzyme
K00058,1.1.1.399;1.1.1.95,enzyme
K19221,2.5.1.17,enzyme
K00039,1.1.1.56,enzyme
K08295,6.2.1.32,enzyme
K04486,3.1.3.15,enzyme
K13018,2.3.1.201,enzyme
K02517,2.3.1.241,enzyme
K12743,6.3.2.26,enzyme
K14652,3.5.4.25;4.1.99.12,enzyme
K00275,1.4.3.5,enzyme
K15916,5.3.1.8;5.3.1.9,enzyme
K01095,3.1.3.27,enzyme
K03816,2.4.2.22,enzyme
K00697,2.4.1.15;2.4.1.347,enzyme
K06167,3.1.4.55,enzyme
K16212,2.4.1.281,enzyme
K01920,6.3.2.3,enzyme
K22579,2.7.9.6,enzyme
K01626,2.5.1.54,enzyme
K25072,1.2.99.10,enzyme
K02496,2.1.1.107,enzyme
K09457,1.7.1.13,enzyme
K00016,1.1.1.27,enzyme
K04835,4.3.1.2,enzyme
K01910,6.2.1.22,enzyme
K01485,3.5.4.1;3.5.4.21,enzyme
K00175,1.2.7.11;1.2.7.3,enzyme
K01515,3.6.1.13,enzyme
K01640,4.1.3.4,enzyme
K00886,2.7.1.63,enzyme
K02257,2.5.1.141,enzyme
K00892,2.7.1.73,enzyme
K02231,2.7.1.156;2.7.7.62,enzyme
K03399,2.1.1.289,enzyme
K00193,2.3.1.169,enzyme
K12582,2.4.1.325,enzyme
K09903,2.7.4.22,enzyme
K01745,4.3.1.3,enzyme
K01214,3.2.1.68,enzyme
K01796,5.1.99.4,enzyme
K02474,1.1.1.136,enzyme
K02805,2.6.1.59,enzyme
K03405,6.6.1.1,enzyme
K17829,1.3.1.86,enzyme
K00835,2.6.1.66,enzyme
K00141,1.2.1.28,enzyme
K01639,4.1.3.3,enzyme
K01096,3.1.3.27;3.1.3.4;3.6.1.27;3.6.1.75,enzyme
K00158,1.2.3.3,enzyme
K01844,5.4.3.3,enzyme
K24249,5.3.2.4,enzyme
K21420,2.3.2.29,enzyme
K05988,3.2.1.11,enzyme
K01916,6.3.1.5,enzyme
K01079,3.1.3.3,enzyme
K01625,4.1.2.14;4.1.3.42,enzyme
K02169,2.1.1.197,enzyme
K03782,1.11.1.21,enzyme
K18981,1.1.1.203,enzyme
K00851,2.7.1.12,enzyme
K07043,,enzyme
K23995,1.1.2.10,enzyme
K01613,4.1.1.65,enzyme
K07130,3.5.1.9,enzyme
K19004,2.4.1.315,enzyme
K21140,3.13.1.6,enzyme
K07406,3.2.1.22,enzyme
K00140,1.2.1.18;1.2.1.27,enzyme
K01845,5.4.3.8,enzyme
K03474,2.6.99.2,enzyme
K03149,2.8.1.10,enzyme
K01494,3.5.4.13,enzyme
K07251,2.7.1.89,enzyme
K00127,,enzyme
K00677,2.3.1.129,enzyme
K00402,2.8.4.1,enzyme
K00882,2.7.1.56,enzyme
K02488,2.7.7.65,enzyme
K02782,2.7.1.198,enzyme
K00640,2.3.1.30,enzyme
K02078,,enzyme
K00007,1.1.1.11,enzyme
K00867,2.7.1.33,enzyme
K00042,1.1.1.60,enzyme
K00121,1.1.1.1;1.1.1.284,enzyme
K27188,1.8.5.10,enzyme
K16515,4.2.1.83,enzyme
K00862,2.7.1.215,enzyme
K01041,,enzyme
K06132,,enzyme
K01965,6.4.1.3,enzyme
K05603,3.5.3.13,enzyme
K03785,4.2.1.10,enzyme
K01491,1.5.1.5;3.5.4.9,enzyme
K16148,2.4.1.342,enzyme
K14260,2.6.1.2;2.6.1.66,enzyme
K16951,,enzyme
K03430,2.6.1.37,enzyme
K09879,1.3.99.39;1.3.99.40,enzyme
K23304,2.3.1.30,enzyme
K03417,4.1.3.30,enzyme
K02774,2.7.1.200,enzyme
K22131,5.3.1.35,enzyme
K12297,2.1.1.173;2.1.1.264,enzyme
K01782,1.1.1.35;4.2.1.17;5.1.2.3,enzyme
K05549,1.14.12.10,enzyme
K15866,5.3.3.18,enzyme
K02619,4.1.3.38,enzyme
K01776,5.1.1.3,enzyme
K11391,2.1.1.174,enzyme
K18425,4.1.3.41,enzyme
K11753,2.7.1.26;2.7.7.2,enzyme
K01808,5.3.1.6,enzyme
K16870,2.4.1.289,enzyme
K00529,1.18.1.3,enzyme
K17838,3.5.2.6,enzyme
K08260,3.5.1.90,enzyme
K27684,4.1.1.127,enzyme
K10747,6.5.1.1;6.5.1.6;6.5.1.7,enzyme
K16329,4.2.1.70,enzyme
K19709,2.8.3.8,enzyme
K18675,2.4.1.280,enzyme
K02082,,enzyme
K03821,2.3.1.304,enzyme
K00969,2.7.7.18,enzyme
K01178,3.2.1.3,enzyme
K04021,,enzyme
K00260,1.4.1.2,enzyme
K02786,2.7.1.207,enzyme
K00209,1.3.1.44;1.3.1.9,enzyme
K23550,3.2.1.18,enzyme
K11263,6.3.4.14;6.4.1.2;6.4.1.3,enzyme
K00255,1.3.8.8,enzyme
K00247,,enzyme
K00788,2.5.1.3,enzyme
K08679,5.1.3.6,enzyme
K06042,5.4.99.60;5.4.99.61,enzyme
K13938,1.5.1.3;1.5.1.50,enzyme
K21071,2.7.1.11;2.7.1.90,enzyme
K08682,3.1.4.14,enzyme
K16873,1.1.3.47,enzyme
K03809,1.6.5.2,enzyme
K01589,6.3.4.18,enzyme
K00004,1.1.1.303;1.1.1.4,enzyme
K18288,,enzyme
K14187,1.3.1.12;5.4.99.5,enzyme
K12251,3.5.1.53,enzyme
K03472,1.2.1.72,enzyme
K02224,6.3.5.11;6.3.5.9,enzyme
K02437,,enzyme
K12974,2.3.1.242,enzyme
K10206,2.6.1.83,enzyme
K04566,6.1.1.6,enzyme
K02777,,enzyme
K07053,3.1.3.97,enzyme
K03079,5.1.3.22,enzyme
K01725,4.2.1.104,enzyme
K01184,3.2.1.15,enzyme
K16066,1.1.1.381,enzyme
K01716,4.2.1.59;5.3.3.14,enzyme
K18785,2.4.1.319;2.4.1.320,enzyme
K06153,3.6.1.27,enzyme
K00702,2.4.1.20,enzyme
K00153,1.1.1.306,enzyme
K07306,1.8.5.3,enzyme
K00233,1.3.5.1;7.1.1.12,enzyme
K10837,2.7.1.164,enzyme
K23999,2.7.7.104;5.4.2.9,enzyme
K01580,4.1.1.15,enzyme
K01628,4.1.2.17,enzyme
K01433,3.5.1.10,enzyme
K00980,2.7.7.39,enzyme
K09809,2.7.8.12,enzyme
K06447,1.2.1.71,enzyme
K00241,,enzyme
K00926,2.7.2.2,enzyme
K01220,3.2.1.85,enzyme
K07749,2.8.3.16,enzyme
K17104,2.5.1.41,enzyme
K00284,1.4.7.1,enzyme
K01777,5.1.1.4,enzyme
K00169,1.2.7.1,enzyme
K00801,2.5.1.21,enzyme
K03707,3.5.99.2,enzyme
K00218,1.3.1.33,enzyme
K16842,3.5.2.5,enzyme
K22539,4.2.2.2,enzyme
K01771,4.6.1.13,enzyme
K13381,3.2.1.14;3.2.1.17,enzyme
K14731,3.1.1.83,enzyme
K05363,2.3.2.10,enzyme
K08722,3.1.3.89,enzyme
K07751,3.4.11.23,enzyme
K28482,1.3.1.6,enzyme
K18911,2.1.1.44,enzyme
K00875,2.7.1.47,enzyme
K10805,,enzyme
K19745,,enzyme
K22251,1.1.1.6,enzyme
K10011,1.1.1.305;2.1.2.13,enzyme
K01843,5.4.3.2,enzyme
K15918,2.7.1.31,enzyme
K02500,4.3.2.10,enzyme
K10027,1.3.99.26;1.3.99.28;1.3.99.29;1.3.99.31,enzyme
K00932,2.7.2.15,enzyme
K01039,2.8.3.12,enzyme
K06015,3.5.1.81,enzyme
K15894,4.2.1.115,enzyme
K19302,3.6.1.27,enzyme
K13063,2.6.1.86,enzyme
K02302,1.3.1.76;2.1.1.107;4.99.1.4,enzyme
K01709,4.2.1.45,enzyme
K07142,2.7.6.3,enzyme
K01058,3.1.1.32;3.1.1.4,enzyme
K03465,2.1.1.148,enzyme
K08310,3.6.1.67,enzyme
K04098,1.13.11.37,enzyme
K18335,1.1.1.434,enzyme
K07816,2.7.6.5,enzyme
K04781,4.2.99.21;5.4.4.2,enzyme
K22549,,enzyme
K15999,,enzyme
K03185,,enzyme
K02610,,enzyme
K08966,3.1.3.87,enzyme
K01474,3.5.2.14,enzyme
K01659,2.3.3.5,enzyme
K02083,3.5.3.9,enzyme
K00101,1.1.2.3,enzyme
K07806,2.6.1.87,enzyme
K07310,1.97.1.9,enzyme
K12527,1.97.1.9,enzyme
K09471,,enzyme
K21480,1.14.15.20,enzyme
K19883,2.3.1.82;2.7.1.190,enzyme
K05713,1.13.11.16,enzyme
K25627,,enzyme
K20155,1.5.3.21,enzyme
K03335,4.2.1.44,enzyme
K03784,2.4.2.1,enzyme
K12256,2.6.1.113,enzyme
K18313,2.8.3.20,enzyme
K01713,4.2.1.51;4.2.1.91,enzyme
K28126,5.4.2.10;5.4.2.13,enzyme
K02858,4.1.99.12,enzyme
K01790,5.1.3.13,enzyme
K11695,2.3.2.18,enzyme
K17218,1.8.5.4,enzyme
K22212,4.1.1.101,enzyme
K27597,2.4.1.337,enzyme
K05921,4.1.1.68,enzyme
K26355,1.3.1.125,enzyme
K01768,4.6.1.1,enzyme
K00003,1.1.1.3,enzyme
K10012,2.4.2.53,enzyme
K08299,4.2.1.149,enzyme
K23351,,enzyme
K06287,,enzyme
K00261,1.4.1.3,enzyme
K00941,2.7.1.49;2.7.4.7,enzyme
K00832,2.6.1.57,enzyme
K06211,2.7.1.22;2.7.7.1,enzyme
K05711,1.3.1.87,enzyme
K03274,5.1.3.20,enzyme
K04517,1.3.1.12,enzyme
K00128,1.2.1.3,enzyme
K15895,2.6.1.92,enzyme
K18479,5.3.1.31,enzyme
K03742,3.5.1.42,enzyme
K09021,,enzyme
K06879,1.7.1.13,enzyme
K13875,4.2.1.25,enzyme
K05966,2.4.2.52,enzyme
K19802,5.1.1.20;5.1.1.25,enzyme
K03332,3.2.1.80,enzyme
K08323,4.2.1.8,enzyme
K15898,2.5.1.97,enzyme
K24012,6.2.1.13,enzyme
K23549,1.12.99.6,enzyme
K02160,,enzyme
K08325,,enzyme
K01489,3.5.4.5,enzyme
K01069,3.1.2.6,enzyme
K03269,3.6.1.54,enzyme
K03280,2.4.1.56,enzyme
K21231,1.3.7.13,enzyme
K01584,4.1.1.19,enzyme
K00064,1.1.1.122,enzyme
K00041,1.1.1.58,enzyme
K01814,5.3.1.16,enzyme
K23372,6.3.2.54,enzyme
K23265,3.5.1.2;6.3.5.3,enzyme
K01070,3.1.2.12,enzyme
K01060,3.1.1.41,enzyme
K19355,3.2.1.78,enzyme
K22708,2.4.1.355,enzyme
K01715,4.2.1.17,enzyme
K13566,3.5.1.3,enzyme
K03524,6.3.4.15,enzyme
K13290,2.6.1.51,enzyme
K00674,2.3.1.117,enzyme
K18800,1.14.13.240,enzyme
K00554,2.1.1.228,enzyme
K02233,2.7.8.26,enzyme
K00496,1.14.15.3,enzyme
K02783,,enzyme
K22477,2.3.1.1,enzyme
K01449,,enzyme
K01818,5.3.1.25;5.3.1.3,enzyme
K13306,1.1.1.266,enzyme
K00690,2.4.1.7,enzyme
K00547,2.1.1.10,enzyme
K10679,1.5.1.34,enzyme
K07250,2.6.1.19;2.6.1.22;2.6.1.48,enzyme
K13954,1.1.1.1,enzyme
K00895,2.7.1.90,enzyme
K13979,1.1.1.2,enzyme
K01734,4.2.3.3,enzyme
K00372,,enzyme
K18224,1.14.13.227,enzyme
K16435,4.2.1.159,enzyme
K01815,5.3.1.17,enzyme
K03825,2.3.1.53,enzyme
K15634,5.4.2.11,enzyme
K08311,,enzyme
K14597,,enzyme
K07320,2.1.1.298,enzyme
K05827,6.3.2.43,enzyme
K05375,,enzyme
K15981,1.14.15.29,enzyme
K00054,1.1.1.88,enzyme
K18365,4.1.3.39;4.1.3.43,enzyme
K03389,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,enzyme
K18289,2.8.3.22,enzyme
K07516,1.1.1.35,enzyme
K25995,1.3.5.1;7.1.1.12,enzyme
K15778,5.4.2.2;5.4.2.8,enzyme
K24112,,enzyme
K00610,,enzyme
K00468,1.13.12.2,enzyme
K02588,,enzyme
K01673,4.2.1.1,enzyme
K10212,,enzyme
K25317,5.1.1.10,enzyme
K00200,1.2.7.12,enzyme
K00170,1.2.7.1,enzyme
K03788,3.1.3.2,enzyme
K00066,1.1.1.132,enzyme
K06133,,enzyme
K22083,2.1.1.21,enzyme
K07558,2.7.7.72,enzyme
K00231,1.3.3.15;1.3.3.4,enzyme
K04518,4.2.1.51,enzyme
K12529,,enzyme
K01750,4.3.1.12,enzyme
K00201,1.2.7.12,enzyme
K22956,2.3.1.184,enzyme
K00094,1.1.1.251,enzyme
K02560,2.3.1.243,enzyme
K08320,3.6.1.65,enzyme
K01034,2.8.3.8;2.8.3.9,enzyme
K15519,2.7.1.74;2.7.1.76,enzyme
K06118,3.13.1.1,enzyme
K01635,4.1.2.40,enzyme
K17228,1.14.14.35,enzyme
K22396,4.2.1.82,enzyme
K20566,1.1.3.43,enzyme
K26138,1.7.1.4,enzyme
K00090,1.1.1.215;1.1.1.79;1.1.1.81,enzyme
K02744,,enzyme
K03518,1.2.5.3,enzyme
K02371,1.3.1.9,enzyme
K13017,2.6.1.98,enzyme
K15945,,enzyme
K20455,4.2.1.117,enzyme
K00097,1.1.1.262,enzyme
K28125,5.1.3.42,enzyme
K00009,1.1.1.17,enzyme
K00728,2.4.1.109,enzyme
K02297,7.1.1.3,enzyme
K05884,1.1.1.337,enzyme
K01908,6.2.1.17,enzyme
K00795,2.5.1.1;2.5.1.10,enzyme
K13075,3.1.1.81,enzyme
K24954,,enzyme
K00113,,enzyme
K12506,2.7.7.60;4.6.1.12,enzyme
K05710,,enzyme
K23264,6.3.5.3,enzyme
K00102,1.1.2.4,enzyme
K23149,3.1.1.104,enzyme
K01085,3.1.3.10,enzyme
K01841,5.4.2.9,enzyme
K08681,4.3.3.6,enzyme
K17948,5.1.3.24,enzyme
K00822,2.6.1.18,enzyme
K14164,6.1.1.14,enzyme
K00803,2.5.1.26,enzyme
K01430,3.5.1.5,enzyme
K06162,3.6.1.63,enzyme
K01971,6.5.1.1,enzyme
K00302,1.5.3.1;1.5.3.24,enzyme
K01484,3.5.3.23,enzyme
K02510,4.1.2.52,enzyme
K05895,1.3.1.106;1.3.1.54,enzyme
K01907,6.2.1.16,enzyme
K00376,1.7.2.4,enzyme
K13656,2.7.8.31,enzyme
K00274,1.4.3.4,enzyme
K08973,,enzyme
K03740,,enzyme
K22226,,enzyme
K24136,1.11.1.27,enzyme
K24264,4.1.1.11,enzyme
K15524,,enzyme
K12339,2.5.1.144,enzyme
K10806,,enzyme
K15855,3.2.1.165,enzyme
K08968,1.8.4.14,enzyme
K12973,2.3.1.251,enzyme
K01243,3.2.2.9,enzyme
K23385,4.1.1.116,enzyme
K00481,1.14.13.2,enzyme
K00769,2.4.2.22,enzyme
K05350,3.2.1.21,enzyme
K11779,2.5.1.147;4.3.1.32,enzyme
K01884,6.1.1.16,enzyme
K13787,2.5.1.1;2.5.1.10;2.5.1.29,enzyme
K21802,1.2.1.67,enzyme
K08967,1.13.11.53;1.13.11.54,enzyme
K13920,4.2.1.28,enzyme
K27681,,enzyme
K00394,1.8.99.2,enzyme
K00228,1.3.3.3,enzyme
K06044,5.4.99.15,enzyme
K07732,2.7.1.161,enzyme
K18277,1.14.13.148,enzyme
K02435,6.3.5.6;6.3.5.7,enzyme
K24258,5.1.3.28,enzyme
K01061,3.1.1.45,enzyme
K03638,2.7.7.75,enzyme
K00030,1.1.1.41,enzyme
K00449,1.13.11.3,enzyme
K18285,2.5.1.120,enzyme
K01708,4.2.1.42,enzyme
K01838,5.4.2.6,enzyme
K03390,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,enzyme
K06726,5.4.99.62,enzyme
K05341,2.4.1.4,enzyme
K01560,3.8.1.2,enzyme
K22084,1.5.99.5,enzyme
K00839,2.6.1.112,enzyme
K00701,2.4.1.19,enzyme
K00333,7.1.1.2,enzyme
K00232,1.3.3.6,enzyme
K25814,2.7.1.191,enzyme
K22478,2.3.1.1;2.7.2.8,enzyme
K01525,3.6.1.41,enzyme
K01464,3.5.2.2,enzyme
K12428,,enzyme
K23004,,enzyme
K05580,7.1.1.2,enzyme
K18223,1.14.13.227,enzyme
K03179,2.5.1.39,enzyme
K03184,1.14.99.60,enzyme
K00368,1.7.2.1,enzyme
K19710,2.7.7.53,enzyme
K17872,1.6.5.12,enzyme
K13497,2.4.2.18;4.1.3.27,enzyme
K02472,1.1.1.336,enzyme
K01641,2.3.3.10,enzyme
K11645,4.1.2.13,enzyme
K05898,1.3.99.4,enzyme
K09459,4.1.1.82,enzyme
K06164,2.7.8.37,enzyme
K05606,5.1.99.1,enzyme
K02362,2.7.8.7;6.3.2.14,enzyme
K01500,3.5.4.9,enzyme
K20712,5.4.4.3,enzyme
K22292,3.1.3.105,enzyme
K09470,6.3.1.11,enzyme
K21059,6.2.1.51,enzyme
K07757,3.1.3.23,enzyme
K00830,2.6.1.44;2.6.1.45;2.6.1.51,enzyme
K23121,4.2.1.172,enzyme
K10678,,enzyme
K00483,1.14.14.9,enzyme
K01975,3.1.4.58,enzyme
K21935,2.3.1.264,enzyme
K21308,,enzyme
K14977,3.5.3.26,enzyme
K26069,,enzyme
K21834,,enzyme
K20934,1.7.2.7,enzyme
K20616,2.5.1.150,enzyme
K11192,2.7.1.192,enzyme
K03635,2.8.1.12,enzyme
K12748,3.5.1.93,enzyme
K06209,5.4.99.5,enzyme
K17837,3.5.2.6,enzyme
K00177,1.2.7.3,enzyme
K18478,2.7.1.184,enzyme
K22086,1.5.99.5,enzyme
K00799,2.5.1.18,enzyme
K00374,1.7.5.1,enzyme
K00035,1.1.1.48,enzyme
K15777,,enzyme
K01788,5.1.3.9,enzyme
K28205,2.6.1.52,enzyme
K02747,,enzyme
K28227,,enzyme
K07102,2.7.1.221,enzyme
K05889,1.1.2.6,enzyme
K21061,,enzyme
K09988,5.3.1.15,enzyme
K03783,2.4.2.1,enzyme
K01003,4.1.1.112,enzyme
K06898,2.5.1.143,enzyme
K06441,1.12.7.2,enzyme
K12437,,enzyme
K00065,1.1.1.127,enzyme
K13243,3.1.4.52,enzyme
K14338,1.14.14.1;1.6.2.4,enzyme
K18537,2.1.1.394,enzyme
K26400,4.2.1.118,enzyme
K04038,1.3.7.7,enzyme
K08312,,enzyme
K12525,1.1.1.3;2.7.2.4,enzyme
K18910,5.1.3.30;5.1.3.31,enzyme
K00253,1.3.8.4,enzyme
K01555,3.7.1.2,enzyme
K01935,6.3.3.3,enzyme
K01906,6.2.1.14,enzyme
K22311,2.3.1.265,enzyme
K22944,4.6.1.1,enzyme
K25650,,enzyme
K18011,5.4.3.3,enzyme
K03795,4.99.1.3,enzyme
K01612,4.1.1.61,enzyme
K28465,5.3.1.8,enzyme
K01232,3.2.1.122,enzyme
K17108,3.2.1.45,enzyme
K09949,3.6.1.54,enzyme
K03181,4.1.3.40,enzyme
K07518,3.1.1.22,enzyme
K15652,4.2.1.118,enzyme
K00060,1.1.1.103,enzyme
K01823,5.3.3.2,enzyme
K13747,4.1.1.96,enzyme
K01697,4.2.1.22,enzyme
K05579,7.1.1.2,enzyme
K23124,3.5.2.9,enzyme
K03186,2.5.1.129,enzyme
K00727,2.4.1.102,enzyme
K02291,2.5.1.32,enzyme
C15602,,metabolite
C00042,,metabolite
C15603,,metabolite
C00122,,metabolite
C00002,,metabolite
C00475,,metabolite
C00008,,metabolite
C00055,,metabolite
C00044,,metabolite
C00035,,metabolite
C00299,,metabolite
C00105,,metabolite
C16633,,metabolite
C16634,,metabolite
C00024,,metabolite
C00010,,metabolite
C00332,,metabolite
C00136,,metabolite
C05269,,metabolite
n G13163,,metabolite
G13184,,metabolite
n C17556,,metabolite
G13185,,metabolite
C00157,,metabolite
C00001,,metabolite
C00641,,metabolite
C00588,,metabolite
C00344,,metabolite
C00093,,metabolite
C00350,,metabolite
C00346,,metabolite
C01194,,metabolite
C01177,,metabolite
C04756,,metabolite
C03454,,metabolite
C00206,,metabolite
C00343,,metabolite
C00342,,metabolite
C01346,,metabolite
C00015,,metabolite
C00361,,metabolite
C00705,,metabolite
C00112,,metabolite
C00043,,metabolite
C17556,,metabolite
C01289,,metabolite
C02970,,metabolite
C20390,,metabolite
G10610,,metabolite
G13118,,metabolite
G13164,,metabolite
C00022,,metabolite
C00020,,metabolite
C00074,,metabolite
C00009,,metabolite
C11436,,metabolite
C11453,,metabolite
C00049,,metabolite
C00026,,metabolite
C00036,,metabolite
C00025,,metabolite
C00079,,metabolite
C00166,,metabolite
C00082,,metabolite
C01179,,metabolite
C00097,,metabolite
C00957,,metabolite
C00302,,metabolite
C00506,,metabolite
C05528,,metabolite
C00606,,metabolite
C05527,,metabolite
C05947,,metabolite
C05946,,metabolite
C04287,,metabolite
C16737,,metabolite
C01165,,metabolite
C00006,,metabolite
C03287,,metabolite
C00005,,metabolite
C00080,,metabolite
C05625,,metabolite
C05623,,metabolite
C02338,,metabolite
C09789,,metabolite
C09099,,metabolite
C00014,,metabolite
C03082,,metabolite
C00263,,metabolite
C00003,,metabolite
C00441,,metabolite
C00004,,metabolite
C00279,,metabolite
C04691,,metabolite
C02642,,metabolite
C00099,,metabolite
C00011,,metabolite
C21029,,metabolite
C01205,,metabolite
C00096,,metabolite
C01222,,metabolite
C20239,,metabolite
C20248,,metabolite
C00091,,metabolite
C00490,,metabolite
C00531,,metabolite
C01934,,metabolite
C03979,,metabolite
C00092,,metabolite
C00085,,metabolite
C00668,,metabolite
C01172,,metabolite
C05345,,metabolite
C00246,,metabolite
C02527,,metabolite
C00152,,metabolite
C01637,,metabolite
C00013,,metabolite
C03402,,metabolite
C00407,,metabolite
C01644,,metabolite
C03127,,metabolite
C00354,,metabolite
C01097,,metabolite
C03785,,metabolite
C00063,,metabolite
C00075,,metabolite
C00081,,metabolite
C00104,,metabolite
C05378,,metabolite
