KO,EC,RXN
K21449,,
K03583,3.1.11.5,
K02014,,
K01968,6.4.1.4,R04138
K07462,,
K01895,6.2.1.1,R00235;R00236;R00316;R00925;R00926;R01354
K10441,7.5.2.7,
K15726,,
K03387,,
K19354,,
K14645,,
K03040,2.7.7.6,
K01736,4.2.3.5,R01714
K01887,6.1.1.19,R03646
K15125,,
K07126,,
K01439,3.5.1.18,R02734
K07485,,
K01051,3.1.1.11,R02362
K01997,,
K11085,7.5.2.6,
K02407,,
K06314,,
K02390,,
K04759,,
K03305,,
K03466,,
K07478,,
K00548,2.1.1.13,R00946;R09365
K07667,,
K01733,4.2.3.1,R01466;R05086
K03570,,
K00088,1.1.1.205,R01130;R08240
K03771,5.2.1.8,
K28320,2.3.1.329,
K08303,,
K08659,,
K02800,2.7.1.197,R02704
K12340,,
K09961,,
K14059,,
K00868,2.7.1.35,R00174;R01909;R02493
K11178,1.17.1.4,R01768;R02103
K08151,,
K25181,,
K21471,,
K23237,,
K26937,,
K14564,,
K01277,3.4.14.4,
K19611,,
K01448,3.5.1.28,R04112
K02067,,
K01181,3.2.1.8,
K02887,,
K01601,4.1.1.39,R00024;R03140
K26939,,
K07326,,
K02863,,
K13583,,
K03292,,
K03732,5.6.2.7,
K03581,3.1.11.5,
K01147,3.1.13.1,
K02446,3.1.3.11,R00762;R04780
K10556,,
K02014,,
K21741,,
K20938,1.14.14.28,
K07456,,
K07133,,
K03234,,
K07407,3.2.1.22,R01101;R01103;R01104;R01194;R01329;R02926;R03618;R03634;R04019;R04470;R05549;R05961;R06091;R06094
K15987,7.2.3.1,
K00029,1.1.1.40,R00216
K03453,,
K02429,,
K22015,1.17.98.4;1.17.98.5,R12754
K06415,,
K03585,,
K07485,,
K02952,,
K03978,,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K01092,3.1.3.25,R01185;R01186;R01187
K00971,2.7.7.13,R00885
K03308,,
K19294,,
K00912,2.7.1.130,R04657
K00979,2.7.7.38,R03351;R11396
K00966,2.7.7.13,R00885
K07143,,
K06221,1.1.1.346,R08878
K01497,3.5.4.25,R00425
K00945,2.7.4.25,R00512;R01665
K00688,2.4.1.1,R02111
K02357,,
K09015,,
K01585,4.1.1.19,R00566
K12308,3.2.1.23,R01105
K01425,3.5.1.2,R00256;R01579
K02761,,R11170;R11172
K05847,7.6.2.9,
K00773,2.4.2.29,R10209
K02055,,
K02014,,
K06889,,
K02315,,
K06888,,
K03596,,
K08309,4.2.2.29,
K07126,,
K09458,2.3.1.179,R02768;R04355;R04726;R04952;R04957;R04960;R04963;R04968;R07762;R10115;R10119
K11959,,
K01945,6.3.4.13,R04144
K03498,,
K02429,,
K07493,,
K07386,,
K01644,4.1.3.34,R00362
K02453,,
K01883,6.1.1.16,R03650
K25034,,
K02860,,
K03655,5.6.2.4,
K03694,,
K00370,1.7.5.1,R00798;R01106;R09497
K04567,6.1.1.6,R03658
K00276,1.4.3.21,R02382;R02529;R02613;R03139;R04027;R04300;R06154;R06740
K00457,1.13.11.27,R01372;R02521
K02690,1.97.1.12,R09542
K19353,,
K03701,,
K03641,,
K04763,,
K22270,1.14.13.24,R02589
K02014,,
K22342,1.14.13.238,
K18915,1.16.1.10,
K21573,,
K21572,,
K00164,1.2.4.2,R00621;R01700;R03316;R08549
K07401,,
K03762,,
K09951,,
K12524,1.1.1.3;2.7.2.4,R00480;R01773;R01775
K01138,,
K26707,,
K19081,2.7.13.3,
K03582,3.1.11.5,
K02298,7.1.1.3,R11335;R13247
K07054,,
K01139,2.7.6.5;3.1.7.2,R00336;R00429
K01953,6.3.5.4,R00578
K00057,1.1.1.94,R00842;R00844
K11177,1.17.1.4,R01768;R02103
K03529,,
K07307,,R09501
K03485,,
K01886,6.1.1.18,R03652
K01991,,
K03307,,
K07497,,
K02017,7.3.2.5,
K07486,,
K01448,3.5.1.28,R04112
K00974,2.7.7.72,R09382;R09383;R09384;R09386
K26148,3.1.4.52,
K11905,,
K03147,4.1.99.17,R03472
K08303,,
K04084,1.8.4.16,
K03929,,
K00239,1.3.5.1,R02164
K13735,,
K12132,2.7.11.1,
K08305,4.2.2.29,
K10215,,R07836;R07837
K00845,2.7.1.2,R00299;R01600;R01786
K09607,,
K00031,1.1.1.42,R00267;R00268;R01899
K02687,,
K05366,2.4.99.28;3.4.16.4,
K09691,7.5.2.14,
K03111,,
K13378,7.1.1.2,R11945
K00526,1.17.4.1,R02017;R02018;R02019;R02024
K11755,3.5.4.19;3.6.1.31,R04035;R04037
K23228,,
K03641,,
K06177,5.4.99.28;5.4.99.29,
K14136,2.4.2.45,R10095
K06142,,
K18197,4.2.2.23,
K03310,,
K07507,,
K11754,6.3.2.12;6.3.2.17,R00942;R02237;R04241
K02316,2.7.7.101,
K05565,,
K22705,,
K06889,,
K08351,,R10127
K00112,1.1.5.3,R00848
K04720,4.1.1.81,R06530
K19231,,
K08600,3.4.22.71,
K02849,2.4.99.25,
K02848,2.7.1.235,
K22300,,
K03701,,
K06861,7.5.2.5,
K13993,,
K01676,4.2.1.2,R01082
K07263,,
K00975,2.7.7.27,R00948
K00024,1.1.1.37,R00342;R07136
K04763,,
K04763,,
K04763,,
K01870,6.1.1.5,R03656
K09607,,
K07192,,
K01897,6.2.1.3,R00390;R01280
K00351,7.2.1.1,
K03043,2.7.7.6,
K03217,,
K21573,,
K03300,,
K00167,1.2.4.4,R01210;R01651;R01701;R01702;R03171;R04225;R07599;R07600;R07601;R07602;R07603;R07604;R10996;R10997
K14654,1.1.1.302,R09375;R09376
K14162,2.7.7.7,
K22205,3.13.2.3,R12098
K02406,,
K03230,,
K14445,,
K07814,,
K01077,3.1.3.1,R02135;R04620
K03217,,
K07042,,
K07079,,
K10972,,
K01874,6.1.1.10,R03659;R04773
K07679,2.7.13.3,
K21832,1.14.13.251,R13016
K08884,2.7.11.1,
K07335,,
K01710,4.2.1.46,R06513
K11533,,R01624;R01626;R04355;R04428;R04429;R04533;R04534;R04535;R04536;R04537;R04543;R04544;R04566;R04568;R04724;R04726;R04952;R04953;R04954;R04955;R04957;R04958;R04960;R04961;R04963;R04964;R04965;R04966;R04968;R04969;R07762;R07763;R07764;R07765;R10700;R12328;R13255
K03701,,
K03644,2.8.1.8,R07767;R12423;R12424
K03686,,
K01869,6.1.1.4,R03657
K09773,2.7.11.33;2.7.4.28,
K02337,2.7.7.7,
K00616,2.2.1.2,R01827;R08575
K13635,,
K00059,1.1.1.100,R02767;R04533;R04534;R04536;R04543;R04566;R04953;R04964;R07763;R10116;R10120;R11671
K00655,2.3.1.51,R02241;R09381
K04043,,
K07279,,
K03648,3.2.2.27,
K01637,4.1.3.1;4.1.3.30,R00409;R00479
K15353,,
K01972,6.5.1.2,R00382
K15977,,
K12132,2.7.11.1,
K10742,5.6.2.3,
K03070,7.4.2.8,
K00383,1.8.1.7,R00094;R00115
K00812,2.6.1.1,R00355;R00694;R00734;R00896;R02433;R02619;R05052
K00656,2.3.1.54,R00212;R06987
K01223,3.2.1.86,R00839;R05133;R05134
K03168,5.6.2.1,
K03561,,
K02856,,
K09474,3.1.3.2,R00548
K03070,7.4.2.8,
K01187,3.2.1.20,R00028;R00801;R00802;R06087;R06088
K02337,2.7.7.7,
K12972,1.1.1.79;1.1.1.81,R00465;R01388;R01392;R02527
K03072,,
K03210,,
K00773,2.4.2.29,R10209
K00773,2.4.2.29,R10209
K07568,2.4.99.17,R10220
K01879,6.1.1.14,R03654
K01104,3.1.3.48,
K02652,,
K05808,,
K03979,,
K09458,2.3.1.179,R02768;R04355;R04726;R04952;R04957;R04960;R04963;R04968;R07762;R10115;R10119
K03437,,
K07014,,
K03695,,
K03427,2.1.1.72,
K00874,2.7.1.45,R01541
K03546,,
K12373,3.2.1.52,R00022;R03492;R04184;R04586;R05963;R06001;R06004;R07809;R07810;R11316;R12963
K00820,2.6.1.16,R00768
K02319,2.7.7.7,
K07273,,
K11720,,
K07643,2.7.13.3,
K01183,3.2.1.14,R01206;R02334
K13936,,
K00841,,R04467
K01887,6.1.1.19,R03646
K03799,,
K07238,,
K04066,5.6.2.4,
K12071,,
K11931,,
K00108,1.1.99.1,R01025
K20862,3.1.3.102;3.1.3.104,R00548;R07280
K03648,3.2.2.27,
K03406,,
K00548,2.1.1.13,R00946;R09365
K01423,,
K00605,2.1.2.10,R01221;R02300;R04125
K02335,2.7.7.7,
K02335,2.7.7.7,
K19353,,
K03695,,
K01179,3.2.1.4,R06200;R11307;R11308
K23393,6.3.5.13,R05030
K26149,3.1.4.52,
K07126,,
K09475,,
K10742,5.6.2.3,
K07679,2.7.13.3,
K12257,,
K01810,5.3.1.9,R00771;R02739;R02740;R03321;R13199
K17733,,
K03306,,
K01919,6.3.2.2,R00894;R10993
K03697,,
K05358,1.1.5.8,R01873;R02415
K01811,3.2.1.177,
K01992,,
K03641,,
K06894,,
K00024,1.1.1.37,R00342;R07136
K03694,,
K00872,2.7.1.39,R01771
K05989,3.2.1.40,R13063;R13064
K06871,,
K06147,,
K00986,2.7.7.49,
K07646,2.7.13.3,
K25706,2.3.1.234,
K07133,,
K00971,2.7.7.13,R00885
K00768,2.4.2.21,R04148
K00768,2.4.2.21,R04148
K01093,3.1.3.2;3.1.3.26,R00548;R03372
K07486,,
K02111,7.1.2.2;7.2.2.1,
K02198,,
K00688,2.4.1.1,R02111
K00627,2.3.1.12,R00209;R02569
K12516,,
K02886,,
K07493,,
K07277,,
K03642,4.2.2.29,
K01972,6.5.1.2,R00382
K02314,5.6.2.3,
K10909,2.7.13.3,
K11527,2.7.13.3,
K01208,3.2.1.133;3.2.1.135;3.2.1.54,R02112;R03122;R11262
K02621,5.6.2.2,
K09801,,
K00925,2.7.2.1,R00315;R01353
K00600,2.1.2.1,R00945;R09099
K18958,,
K02612,,R09838
K03427,2.1.1.72,
K13686,2.4.2.46,
K02025,,
K21698,,
K02521,,
K12132,2.7.11.1,
K16012,,
K01652,2.2.1.6,R00006;R00014;R00226;R03050;R04672;R04673;R08648
K02389,,
K01883,6.1.1.16,R03650
K07139,,
K03466,,
K06969,2.1.1.191,
K09607,,
K18139,,
K18138,,
K03590,,
K03437,,
K07126,,
K03092,,
K09607,,
K05366,2.4.99.28;3.4.16.4,
K03612,,
K03570,,
K07269,,
K18996,,
K03407,2.7.13.3,
K01738,2.5.1.47,R00897;R03601;R04859;R07274
K07037,,
K02600,,
K01364,3.4.22.10,
K03215,2.1.1.190,
K02036,7.3.2.1,
K07126,,
K06957,2.3.1.193,
K18968,2.7.7.65,
K00053,1.1.1.86,R03051;R04439;R04440;R05068;R05069;R05071
K03215,2.1.1.190,
K08884,2.7.11.1,
K03655,5.6.2.4,
K03733,,
K01928,6.3.2.13,R02788
K01414,3.4.24.70,
K18691,4.2.2.29,
K02014,,
K01915,6.3.1.2,R00253
K07347,,
K01873,6.1.1.9,R03665
K01423,,
K03427,2.1.1.72,
K01649,2.3.3.13,R01213
K00995,2.7.8.5,R01801
K03321,,
K11073,,
K19611,,
K06877,,
K01200,3.2.1.41,R02111
K03646,,
K10111,,
K10110,,
K13735,,
K18661,6.2.1.76,R03383
K07003,,
K00626,2.3.1.9,R00238;R01177
K07486,,
K16091,,
K21573,,
K01000,2.7.8.13,R05629;R05630
K03590,,
K03531,,
K03043,2.7.7.6,
K07636,2.7.13.3,
K04485,,
K04485,,
K01924,6.3.2.8,R03193
K01736,4.2.3.5,R01714
K12369,,
K03531,,
K01119,3.1.3.6;3.1.4.16,R01562;R01877;R02148;R02370;R03537;R03538;R03929;R05135
K18691,4.2.2.29,
K17733,,
K01421,,
K00962,2.7.7.8,
K07812,1.7.2.3,R02560
K21572,,
K17680,5.6.2.3,
K01885,6.1.1.17,R05578
K02314,5.6.2.3,
K04074,,
K00459,1.13.12.16,R00025
K04047,,
K12255,3.5.3.7,R01990
K02492,1.2.1.70,R04109
K03517,2.5.1.72,R04292
K03438,2.1.1.199,
K07481,,
K02337,2.7.7.7,
K01056,3.1.1.29,
K03699,,
K15255,5.6.2.3,
K02992,,
K03046,2.7.7.6,
K19222,3.1.2.28,R07262
K02014,,
K00942,2.7.4.8,R00332;R02090;R12852
K02020,,
K02314,5.6.2.3,
K03582,3.1.11.5,
K01006,2.7.9.1,R00206
K08177,,
K01997,,
K20332,,
K00163,1.2.4.1,R00014;R00209;R01699;R03270
K01933,6.3.3.1,R04208
K04094,2.1.1.74,
K24131,,
K12132,2.7.11.1,
K19293,,
K07114,,
K05795,,
K05795,,
K05795,,
K27851,,
K01990,,
K01138,,
K07126,,
K12065,,
K21572,,
K27802,4.2.1.3;4.2.1.99,R01324;R01325;R01900;R04425
K20938,1.14.14.28,
K05366,2.4.99.28;3.4.16.4,
K27087,,
K03406,,
K00965,2.7.7.12,R00955
K19611,,
K00826,2.6.1.42,R01090;R01214;R02199;R08622;R08626;R10991
K03699,,
K03301,,
K12308,3.2.1.23,R01105
K01147,3.1.13.1,
K01156,3.1.21.5,
K14645,,
K02276,7.1.1.9,
K25026,2.7.1.2,R00299;R01600;R01786
K00899,2.7.1.100,R04143
K21089,,
K07491,,
K06045,4.2.1.129;5.4.99.17,R07322;R07323
K01867,6.1.1.2,R03664
K14645,,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K01206,3.2.1.51,
K01426,3.5.1.4,R02540;R03096;R03180;R03909;R05551;R05590
K01754,4.3.1.19,R00220;R00996
K02035,,
K09952,,
K06720,4.2.1.108,R06979
K00174,1.2.7.11;1.2.7.3,R01196;R01197
K09799,,
K02569,,
K01364,3.4.22.10,
K01364,3.4.22.10,
K01582,4.1.1.18,R00462
K07648,2.7.13.3,
K07095,,
K00615,2.2.1.1,R01067;R01641;R01830;R06590
K02337,2.7.7.7,
K01869,6.1.1.4,R03657
K03100,3.4.21.89,
K04656,,
K15580,,
K00123,1.17.1.9,R00519
K01226,3.2.1.93,R00837;R06113
K07173,4.4.1.21,R01291
K09893,,
K01208,3.2.1.133;3.2.1.135;3.2.1.54,R02112;R03122;R11262
K03596,,
K03655,5.6.2.4,
K03271,5.3.1.28,R05645;R09768;R09769
K27956,,
K14107,,
K12472,,
K09014,,
K07462,,
K01868,6.1.1.3,R03663
K03703,,
K02945,,
K03495,,R08701
K03924,,
K01338,3.4.21.53,
K07688,,
K00343,7.1.1.2,R11945
K01834,5.4.2.11,R01518
K02433,6.3.5.6;6.3.5.7,R03905;R04212
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K01874,6.1.1.10,R03659;R04773
K03424,,
K06177,5.4.99.28;5.4.99.29,
K01551,7.3.2.7,
K11754,6.3.2.12;6.3.2.17,R00942;R02237;R04241
K00029,1.1.1.40,R00216
K11750,,
K06969,2.1.1.191,
K01089,3.1.3.15;4.2.1.19,R03013;R03457
K00059,1.1.1.100,R02767;R04533;R04534;R04536;R04543;R04566;R04953;R04964;R07763;R10116;R10120;R11671
K03500,2.1.1.176,
K02770,2.7.1.202,R03232
K23997,4.2.1.136;5.1.99.6,
K02840,,
K07154,2.7.11.1,
K00602,2.1.2.3;3.5.4.10,R01127;R04560
K00850,2.7.1.11,R00756;R03236;R03237;R03238;R03239;R04779
K04567,6.1.1.6,R03658
K03502,,
K01206,3.2.1.51,
K02081,,
K07482,,
K01256,3.4.11.2,R00899;R04951
K20866,3.1.3.10,R00947
K00282,1.4.4.2,R01221;R03425
K00029,1.1.1.40,R00216
K00059,1.1.1.100,R02767;R04533;R04534;R04536;R04543;R04566;R04953;R04964;R07763;R10116;R10120;R11671
K11203,,
K03592,,
K02806,,
K21572,,
K00135,1.2.1.16;1.2.1.20;1.2.1.79,R00713;R00714;R02401
K18930,,R00297
K07456,,
K04561,1.7.2.5,R00294
K03529,,
K00075,1.3.1.98,R03191;R03192
K01198,3.2.1.37,R01433
K07098,,
K02230,6.6.1.2,R05227
K03654,5.6.2.4,
K03719,,
K03654,5.6.2.4,
K02431,5.1.3.29,R10764
K01208,3.2.1.133;3.2.1.135;3.2.1.54,R02112;R03122;R11262
K20542,3.2.1.4,
K01638,2.3.3.9,R00472
K01710,4.2.1.46,R06513
K18138,,
K11175,2.1.2.2,R04325;R04326
K07713,,
K03702,,
K02238,,
K07133,,
K13652,,
K03338,2.7.1.92,R05661
K01761,4.4.1.11,R00654;R04770
K03183,2.1.1.163;2.1.1.201,R09736;R09737
K07126,,
K00986,2.7.7.49,
K01915,6.3.1.2,R00253
K03836,,
K01468,3.5.2.7,R02288
K13004,,
K00931,2.7.2.11,R00239
K03088,,
K04046,,
K01051,3.1.1.11,R02362
K00283,1.4.4.2,R01221;R03425
K01876,6.1.1.12,R05577
K02843,2.4.99.24,
K02527,2.4.99.12;2.4.99.13;2.4.99.14;2.4.99.15,R04658;R05074;R06285;R09763;R09764;R09766
K18912,1.14.99.50,R11013
K07386,,
K07386,,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K18324,,
K00615,2.2.1.1,R01067;R01641;R01830;R06590
K01153,3.1.21.3,
K03086,,
K16053,,
K02424,,
K03657,5.6.2.4,
K03168,5.6.2.1,
K03654,5.6.2.4,
K02237,,
K06207,,
K26775,,
K01091,3.1.3.18,R01334
K07493,,
K00721,2.4.1.83,R01009
K01933,6.3.3.1,R04208
K07636,2.7.13.3,
K02798,2.7.1.197,R02704
K15580,,
K07636,2.7.13.3,
K03169,5.6.2.1,
K03088,,
K03168,5.6.2.1,
K03503,,
K00558,2.1.1.37,R04858
K16079,,
K12132,2.7.11.1,
K01006,2.7.9.1,R00206
K01785,5.1.3.3,R01602;R10619
K02411,,
K02238,,
K06881,3.1.13.3;3.1.3.7,R00188;R00508
K07133,,
K00879,2.7.1.51,R03241;R12695
K07483,,
K02117,7.1.2.2;7.2.2.1,
K04019,,R00749
K22447,,
K02343,2.7.7.7,
K26937,,
K07085,,
K03147,4.1.99.17,R03472
K00631,2.3.1.15,R00851;R09380
K02470,5.6.2.2,
K04771,3.4.21.107,
K04066,5.6.2.4,
K06958,,
K02806,,
K03092,,
K06861,7.5.2.5,
K09774,,
K01183,3.2.1.14,R01206;R02334
K03270,3.1.3.45,R03350
K06041,5.3.1.13,R01530
K01186,3.2.1.18,R03491;R04018;R05999;R06147
K02470,5.6.2.2,
K03629,,
K02338,2.7.7.7,
K02313,,
K03536,3.1.26.5,
K08998,,
K03217,,
K10010,7.4.2.1,
K15396,2.1.1.200,
K00266,1.4.1.13,R00114;R00248
K04042,2.3.1.157;2.7.7.23,R00416;R05332
K01591,4.1.1.23,R00965
K07386,,
K00525,1.17.4.1,R02017;R02018;R02019;R02024
K01448,3.5.1.28,R04112
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K09749,,
K27502,1.5.1.55,R13291
K06396,,
K01235,3.2.1.139,
K01273,3.4.13.19,
K07126,,
K07126,,
K00986,2.7.7.49,
K12573,3.1.13.1,
K02003,,
K27823,,
K03546,,
K09891,,
K20741,3.4.22.50,
K10557,,
K01153,3.1.21.3,
K07660,,
K11904,,
K02406,,
K02553,,
K03580,,
K00995,2.7.8.5,R01801
K14441,2.8.4.4,R10652
K02315,,
K03798,,
K03293,,
K12132,2.7.11.1,
K15738,,
K21064,3.1.3.104,R07280
K03718,,
K00600,2.1.2.1,R00945;R09099
K03781,1.11.1.6,R00009;R00602;R02670
K03698,,
K10240,,
K02337,2.7.7.7,
K03655,5.6.2.4,
K01139,2.7.6.5;3.1.7.2,R00336;R00429
K03733,,
K01866,6.1.1.1,R02918
K14980,2.7.13.3,
K27576,,
K07133,,
K21573,,
K13688,2.4.1.397,
K23269,6.3.5.3,R04463
K12524,1.1.1.3;2.7.2.4,R00480;R01773;R01775
K07497,,
K07497,,
K05565,,
K18890,,
K08357,,R10150
K01153,3.1.21.3,
K18138,,
K18139,,
K11991,3.5.4.33,R10223
K01153,3.1.21.3,
K04075,6.3.4.19,R09597
K03640,,
K07271,,R12821
K26735,,
K03657,5.6.2.4,
K01961,6.3.4.14;6.4.1.2,R00742;R04385
K07316,2.1.1.72,
K02314,5.6.2.3,
K04487,2.8.1.7,R07460;R11528;R11529
K02283,7.4.2.8,
K13735,,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K03930,,
K01872,6.1.1.7,R03038
K20276,,
K09136,,
K02014,,
K01955,6.3.5.5,R00256;R00575;R01395;R10948;R10949
K02014,,
K01813,5.3.1.14,R02437
K00929,2.7.2.7,R01688
K00854,2.7.1.17,R01639
K03628,,
K09760,,
K07093,,
K02035,,
K25957,,
K08194,,
K06158,,
K25285,,
K03334,1.4.3.2,R00357;R00648;R00677;R00689;R00729;R02197
K07126,,
K03457,,
K15922,3.2.1.199,R00802;R11543
K01000,2.7.8.13,R05629;R05630
K07485,,
K21397,,
K03696,,
K20276,,
K03406,,
K07462,,
K09128,4.2.1.182,R12894
K02051,,
K08641,3.4.13.22,
K01153,3.1.21.3,
K02035,,
K08309,4.2.2.29,
K01803,5.3.1.1,R01015
K02335,2.7.7.7,
K01537,7.2.2.10,
K00812,2.6.1.1,R00355;R00694;R00734;R00896;R02433;R02619;R05052
K03281,,
K15580,,
K07684,,
K02986,,
K02030,,
K01520,3.6.1.23,R02100;R11896
K13730,,
K21572,,
K03100,3.4.21.89,
K06168,2.8.4.3,R10645;R10646;R10647
K02014,,
K07741,,
K01951,6.3.5.2,R01230;R01231;R08244
K25099,,
K19294,,
K01952,6.3.5.3,R04463
K01571,7.2.4.2,R12212
K11076,7.6.2.16,
K18195,4.2.2.23,
K03438,2.1.1.199,
K07278,,
K03789,2.3.1.266,
K07272,,
K24300,4.2.1.135,R10266
K02564,3.5.99.6,R00765
K15923,3.2.1.51,
K00239,1.3.5.1,R02164
K00790,2.5.1.7,R00660
K02337,2.7.7.7,
K00991,2.7.7.60,R05633
K00566,2.8.1.13,R08700
K00384,1.8.1.9,R02016;R03596;R09372
K01960,6.4.1.1,R00344
K02482,2.7.13.3,
K00564,2.1.1.172,R07234
K05564,,
K21636,1.1.98.6,R11633;R11634;R11635;R11636
K03427,2.1.1.72,
K02065,,
K02066,,
K02067,,
K07323,,
K00790,2.5.1.7,R00660
K06194,,
K01284,3.4.15.5,
K00758,2.4.2.4,R01570;R02484;R08222;R08230
K06346,,
K01887,6.1.1.19,R03646
K07080,,
K09952,,
K16089,,
K02337,2.7.7.7,
K18138,,
K01929,6.3.2.10,R04573;R04617
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K07481,,
K01897,6.2.1.3,R00390;R01280
K06113,3.2.1.99,
K00024,1.1.1.37,R00342;R07136
K03546,,
K00966,2.7.7.13,R00885
K07495,,
K01687,4.2.1.9,R01209;R04441;R05070
K25345,2.7.7.48,
K03218,2.1.1.185,
K12573,3.1.13.1,
K03673,1.8.4.15,
K01647,2.3.3.1,R00351
K01873,6.1.1.9,R03665
K10229,,
K03076,,
K00962,2.7.7.8,
K02609,1.14.13.149,R09838
K04041,3.1.3.11,R00762;R04780
K22601,2.1.3.5,R02937
K00658,2.3.1.61,R01933;R02570;R02571;R08549
K18292,4.1.3.25,R00237
K10725,,
K03673,1.8.4.15,
K10974,,
K09458,2.3.1.179,R02768;R04355;R04726;R04952;R04957;R04960;R04963;R04968;R07762;R10115;R10119
K15976,,
K01945,6.3.4.13,R04144
K04075,6.3.4.19,R09597
K07484,,
K03110,,
K06919,,
K03702,,
K03466,,
K03977,,
K19005,2.7.8.20,R05081;R10849;R12813;R12900;R12901
K06180,5.4.99.23,
K08602,,
K00973,2.7.7.24,R02328
K02316,2.7.7.101,
K01950,6.3.5.1,R00257
K09808,,
K03495,,R08701
K02316,2.7.7.101,
K16301,,
K00005,1.1.1.6,R01034;R10715;R10717
K07058,,
K15532,3.2.1.172,
K02470,5.6.2.2,
K01955,6.3.5.5,R00256;R00575;R01395;R10948;R10949
K00248,1.3.8.1,R01175;R01178;R02661;R03172;R04432;R04751
K01278,3.4.14.5,
K02389,,
K02835,,
K02390,,
K01223,3.2.1.86,R00839;R05133;R05134
K14393,,
K06972,,
K07485,,
K21470,,
K01687,4.2.1.9,R01209;R04441;R05070
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K01142,3.1.11.2,
K07387,,
K12952,,
K07814,,
K00427,,
K02057,,
K02394,,
K11069,,
K01278,3.4.14.5,
K03043,2.7.7.6,
K08154,,
K25307,3.1.3.48,
K13620,,
K07284,3.4.22.70,
K09828,1.3.1.72,R01457;R03689;R05703;R07488;R07493;R07498;R07499;R07507;R11096
K07018,,
K23518,3.1.1.106,R12390;R12391
K07652,2.7.13.3,
K01006,2.7.9.1,R00206
K01179,3.2.1.4,R06200;R11307;R11308
K00954,2.7.7.3,R03035
K03797,3.4.21.102,
K03657,5.6.2.4,
K01006,2.7.9.1,R00206
K04088,,
K03583,3.1.11.5,
K23269,6.3.5.3,R04463
K12994,2.4.1.349,
K07673,2.7.13.3,
K07493,,
K01869,6.1.1.4,R03657
K03324,,
K02341,2.7.7.7,
K03644,2.8.1.8,R07767;R12423;R12424
K06889,,
K03723,5.6.2.4,
K07793,,
K08191,,
K07497,,
K01890,6.1.1.20,R03660
K09912,,
K04763,,
K04763,,
K04763,,
K14645,,
K00111,1.1.5.3,R00848
K04487,2.8.1.7,R07460;R11528;R11529
K07636,2.7.13.3,
K00615,2.2.1.1,R01067;R01641;R01830;R06590
K06187,,
K15923,3.2.1.51,
K03086,,
K03499,,
K03694,,
K01520,3.6.1.23,R02100;R11896
K03705,,
K14441,2.8.4.4,R10652
K01809,5.3.1.8,R00772;R01819
K05337,,
K26937,,
K01868,6.1.1.3,R03663
K03199,7.4.2.8,
K16091,,
K06397,,
K14339,,
K21084,2.7.7.65,
K05837,2.4.99.28,
K23876,5.6.1.9,
K03070,7.4.2.8,
K01190,3.2.1.23,R01105;R01678;R03355;R04783;R06114
K26894,,
K00303,1.5.3.1;1.5.3.24,R00610;R12967
K09699,2.3.1.168,R01210;R01651;R02662;R03171;R03174;R04097;R10998
K04043,,
K01784,5.1.3.2,R00291;R02984
K12132,2.7.11.1,
K01867,6.1.1.2,R03664
K00548,2.1.1.13,R00946;R09365
K10108,,
K10108,,
K10108,,
K13733,,
K03787,3.1.3.5;3.1.3.6,R00183;R00511;R00963;R01126;R01227;R01562;R01569;R01664;R01877;R01968;R02088;R02102;R02148;R02323;R02370;R02719;R03346;R12958
K02020,,
K08304,4.2.2.29,
K02014,,
K25767,3.2.1.217,
K02364,6.2.1.72;6.3.2.14,R07644
K07497,,
K09953,,R12196;R12204
K02036,7.3.2.1,
K10764,,R01288
K07787,,
K03979,,
K03701,,
K01995,,
K12528,,R07229
K26580,,
K08302,4.1.2.40,R01069
K22024,1.1.1.408;1.1.1.409,
K07263,,
K04014,,
K00111,1.1.5.3,R00848
K03077,5.1.3.4,R05850
K02337,2.7.7.7,
K07347,,
K03151,2.8.1.4,R07461
K01448,3.5.1.28,R04112
K02416,,
K02002,,
K00705,2.4.1.25,R02111;R05196
K15915,2.7.8.36,R10184
K01665,2.6.1.85,R01716
K01886,6.1.1.18,R03652
K19689,,
K03613,,
K07497,,
K03496,,
K08354,,R10149
K01473,3.5.2.14,R03187
K07274,,
K01887,6.1.1.19,R03646
K03495,,R08701
K01091,3.1.3.18,R01334
K00467,1.13.12.4,R00319
K01872,6.1.1.7,R03038
K07349,,
K09835,5.2.1.13,R07512
K02172,,
K01858,5.5.1.4,R07324
K03495,,R08701
K00392,1.8.7.1,R00859;R03600
K16011,2.7.7.13;5.3.1.8,R00772;R00885;R01819
K01835,5.4.2.2,R00959;R01057;R08639
K06942,,
K01873,6.1.1.9,R03665
K02391,,
K01255,3.4.11.1,R00899;R04951
K00761,2.4.2.9,R00966
K05366,2.4.99.28;3.4.16.4,
