KO,EC,RXN
K01002,2.7.8.20,
K00820,2.6.1.16,R00768
K02810,2.7.1.211,R00811
K05802,,
K00602,2.1.2.3;3.5.4.10,R01127;R04560
K02482,2.7.13.3,
K26730,,
K03723,5.6.2.4,
K02406,,
K15461,2.1.1.61,R00601;R08702
K20480,,
K02283,7.4.2.8,
K02342,2.7.7.7,
K02355,,
K18138,,
K01091,3.1.3.18,R01334
K07497,,
K03735,4.3.1.7,R00749
K03406,,
K04485,,
K07277,,
K09800,,
K01895,6.2.1.1,R00235;R00236;R00316;R00925;R00926;R01354
K21573,,
K00773,2.4.2.29,R10209
K03203,,
K01130,3.1.6.1,R04856
K01297,3.4.17.13,
K13629,,
K13652,,
K01925,6.3.2.9,R02783
K00673,2.3.1.109,R00832
K01929,6.3.2.10,R04573;R04617
K11941,,
K01881,6.1.1.15,R03661
K01139,2.7.6.5;3.1.7.2,R00336;R00429
K01187,3.2.1.20,R00028;R00801;R00802;R06087;R06088
K01270,,R00899;R04951
K00971,2.7.7.13,R00885
K04079,,
K15532,3.2.1.172,
K01187,3.2.1.20,R00028;R00801;R00802;R06087;R06088
K16692,2.7.10.3,
K19231,,
K02433,6.3.5.6;6.3.5.7,R03905;R04212
K03686,,
K15125,,
K07099,,
K02856,,
K03737,1.2.7.1,R01196;R10866
K03630,,
K01006,2.7.9.1,R00206
K10541,,
K00059,1.1.1.100,R02767;R04533;R04534;R04536;R04543;R04566;R04953;R04964;R07763;R10116;R10120;R11671
K03325,,
K17244,,
K08906,,
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K05349,3.2.1.21,R00026;R00306;R02558;R02887;R02985;R03527;R04949;R04998;R10035;R10039;R10040;R13051;R13052;R13065;R13081
K08307,4.2.2.29,
K05841,2.4.1.173,
K03587,3.4.16.4,
K04029,,
K01710,4.2.1.46,R06513
K00096,1.1.1.261,R05679;R05680
K06213,,
K02994,,
K03734,2.7.1.180,
K09476,,
K21573,,
K00658,2.3.1.61,R01933;R02570;R02571;R08549
K15633,5.4.2.12,R01518
K06970,2.1.1.181,R07232
K18015,,
K03312,,
K11036,,
K05970,3.1.1.53,
K03070,7.4.2.8,
K05786,,
K03312,,
K00962,2.7.7.8,
K02008,,
K03722,5.6.2.3,
K03177,5.4.99.25,
K02834,,
K02519,,
K03151,2.8.1.4,R07461
K03657,5.6.2.4,
K23163,,
K03466,,
K01338,3.4.21.53,
K19155,,
K09835,5.2.1.13,R07512
K03568,,
K01866,6.1.1.1,R02918
K03737,1.2.7.1,R01196;R10866
K21573,,
K09689,7.6.2.12,
K22512,,
K09883,6.6.1.2,R05227
K05592,5.6.2.7,
K01756,4.3.2.2,R01083;R04559;R12851
K11085,7.5.2.6,
K03529,,
K03650,,R08701
K06398,,
K03797,3.4.21.102,
K03797,3.4.21.102,
K18581,3.2.1.180,R10867
K00655,2.3.1.51,R02241;R09381
K17722,1.3.1.1,R00977;R01414;R11026
K20611,1.3.99.37,R12708;R12709
K00615,2.2.1.1,R01067;R01641;R01830;R06590
K00615,2.2.1.1,R01067;R01641;R01830;R06590
K00764,2.4.2.14,R01072
K04485,,
K07091,,
K06131,,R07390
K01187,3.2.1.20,R00028;R00801;R00802;R06087;R06088
K03150,4.1.99.19,R10246
K27443,,
K19222,3.1.2.28,R07262
K12685,,
K03929,,
K03151,2.8.1.4,R07461
K01637,4.1.3.1;4.1.3.30,R00409;R00479
K03703,,
K18138,,
K03828,,
K07126,,
K01872,6.1.1.7,R03038
K07486,,
K16899,5.6.2.4,
K01005,,
K02027,,
K03686,,
K01208,3.2.1.133;3.2.1.135;3.2.1.54,R02112;R03122;R11262
K01218,3.2.1.78,R01332
K21573,,
K07814,,
K07637,2.7.13.3,
K03394,2.1.1.130;2.1.1.151,R03948;R05808
K03640,,
K21636,1.1.98.6,R11633;R11634;R11635;R11636
K00059,1.1.1.100,R02767;R04533;R04534;R04536;R04543;R04566;R04953;R04964;R07763;R10116;R10120;R11671
K03701,,
K03703,,
K06147,,
K01872,6.1.1.7,R03038
K03544,,
K11105,,
K03043,2.7.7.6,
K00325,7.1.1.1,R13176
K22444,1.14.13.239,
K01997,,
K03116,,
K03529,,
K03529,,
K18850,1.14.11.47,
K25135,,
K05343,3.2.1.1;5.4.99.16,R01557;R02108;R02112;R11262
K06942,,
