KO,EC,Reaction,role,metabolite
K02551,2.2.1.9,R08165,substrate,C00026
K02551,2.2.1.9,R08165,product,C16519
K02551,2.2.1.9,R08165,product,C00011
K01699,4.2.1.28,R02376,substrate,C00583
K01699,4.2.1.28,R02376,product,C00479
K01699,4.2.1.28,R02376,product,C00001
K00973,2.7.7.24,R02328,substrate,C00459
K00973,2.7.7.24,R02328,substrate,C00103
K00973,2.7.7.24,R02328,product,C00013
K00973,2.7.7.24,R02328,product,C00842
K03078,4.1.1.85,R07125,substrate,C14899
K03078,4.1.1.85,R07125,substrate,C00080
K03078,4.1.1.85,R07125,product,C03291
K03078,4.1.1.85,R07125,product,C00011
K13542,2.1.1.107;4.2.1.75,R03165,substrate,C01024
K13542,2.1.1.107;4.2.1.75,R03165,product,C01051
K13542,2.1.1.107;4.2.1.75,R03165,product,C00001
K13542,2.1.1.107;4.2.1.75,R03194,substrate,C00019
K13542,2.1.1.107;4.2.1.75,R03194,substrate,C01051
K13542,2.1.1.107;4.2.1.75,R03194,product,C00021
K13542,2.1.1.107;4.2.1.75,R03194,product,C02463
K01619,4.1.2.4,R01066,substrate,C00673
K01619,4.1.2.4,R01066,product,C00118
K01619,4.1.2.4,R01066,product,C00084
K00074,1.1.1.157,R01976,substrate,C01144
K00074,1.1.1.157,R01976,substrate,C00006
K00074,1.1.1.157,R01976,product,C00332
K00074,1.1.1.157,R01976,product,C00005
K00074,1.1.1.157,R01976,product,C00080
K00074,1.1.1.157,R05576,substrate,C05116
K00074,1.1.1.157,R05576,substrate,C00006
K00074,1.1.1.157,R05576,product,C00332
K00074,1.1.1.157,R05576,product,C00005
K00074,1.1.1.157,R05576,product,C00080
K00074,1.1.1.157,R06941,substrate,C14145
K00074,1.1.1.157,R06941,substrate,C00003
K00074,1.1.1.157,R06941,product,C02232
K00074,1.1.1.157,R06941,product,C00004
K00074,1.1.1.157,R06941,product,C00080
K03779,4.2.1.32,R00339,substrate,C00898
K03779,4.2.1.32,R00339,product,C00036
K03779,4.2.1.32,R00339,product,C00001
K00294,1.2.1.88,R00245,substrate,C01165
K00294,1.2.1.88,R00245,substrate,C00003
K00294,1.2.1.88,R00245,substrate,C00001
K00294,1.2.1.88,R00245,product,C00025
K00294,1.2.1.88,R00245,product,C00004
K00294,1.2.1.88,R00245,product,C00080
K00294,1.2.1.88,R00707,substrate,C03912
K00294,1.2.1.88,R00707,substrate,C00003
K00294,1.2.1.88,R00707,substrate,C00001
K00294,1.2.1.88,R00707,product,C00025
K00294,1.2.1.88,R00707,product,C00004
K00294,1.2.1.88,R00707,product,C00080
K00294,1.2.1.88,R00708,substrate,C03912
K00294,1.2.1.88,R00708,substrate,C00006
K00294,1.2.1.88,R00708,substrate,C00001
K00294,1.2.1.88,R00708,product,C00025
K00294,1.2.1.88,R00708,product,C00005
K00294,1.2.1.88,R00708,product,C00080
K00294,1.2.1.88,R04444,substrate,C04281
K00294,1.2.1.88,R04444,substrate,C00003
K00294,1.2.1.88,R04444,substrate,C00001
K00294,1.2.1.88,R04444,product,C05947
K00294,1.2.1.88,R04444,product,C00004
K00294,1.2.1.88,R04444,product,C00080
K00294,1.2.1.88,R04445,substrate,C04281
K00294,1.2.1.88,R04445,substrate,C00006
K00294,1.2.1.88,R04445,substrate,C00001
K00294,1.2.1.88,R04445,product,C05947
K00294,1.2.1.88,R04445,product,C00005
K00294,1.2.1.88,R04445,product,C00080
K00294,1.2.1.88,R05051,substrate,C05947
K00294,1.2.1.88,R05051,substrate,C00004
K00294,1.2.1.88,R05051,substrate,C00080
K00294,1.2.1.88,R05051,product,C05938
K00294,1.2.1.88,R05051,product,C00003
K00294,1.2.1.88,R05051,product,C00001
K00294,1.2.1.88,R13148,substrate,C01165
K00294,1.2.1.88,R13148,substrate,C00006
K00294,1.2.1.88,R13148,substrate,C00001
K00294,1.2.1.88,R13148,product,C00025
K00294,1.2.1.88,R13148,product,C00005
K00294,1.2.1.88,R13148,product,C00080
K00647,2.3.1.41,R02768,substrate,C00173
K00647,2.3.1.41,R02768,substrate,C01209
K00647,2.3.1.41,R02768,product,C00685
K00647,2.3.1.41,R02768,product,C00011
K00647,2.3.1.41,R02768,product,C00229
K00647,2.3.1.41,R04355,substrate,C03939
K00647,2.3.1.41,R04355,substrate,C01209
K00647,2.3.1.41,R04355,product,C05744
K00647,2.3.1.41,R04355,product,C00011
K00647,2.3.1.41,R04355,product,C00229
K00647,2.3.1.41,R04726,substrate,C05223
K00647,2.3.1.41,R04726,substrate,C01209
K00647,2.3.1.41,R04726,product,C05759
K00647,2.3.1.41,R04726,product,C00011
K00647,2.3.1.41,R04726,product,C00229
K00647,2.3.1.41,R04952,substrate,C05745
K00647,2.3.1.41,R04952,substrate,C01209
K00647,2.3.1.41,R04952,product,C05746
K00647,2.3.1.41,R04952,product,C00011
K00647,2.3.1.41,R04952,product,C00229
K00647,2.3.1.41,R04957,substrate,C05749
K00647,2.3.1.41,R04957,substrate,C01209
K00647,2.3.1.41,R04957,product,C05750
K00647,2.3.1.41,R04957,product,C00011
K00647,2.3.1.41,R04957,product,C00229
K00647,2.3.1.41,R04960,substrate,C05752
K00647,2.3.1.41,R04960,substrate,C01209
K00647,2.3.1.41,R04960,product,C05753
K00647,2.3.1.41,R04960,product,C00011
K00647,2.3.1.41,R04960,product,C00229
K00647,2.3.1.41,R04963,substrate,C05755
K00647,2.3.1.41,R04963,substrate,C01209
K00647,2.3.1.41,R04963,product,C05756
K00647,2.3.1.41,R04963,product,C00011
K00647,2.3.1.41,R04963,product,C00229
K00647,2.3.1.41,R04968,substrate,C05761
K00647,2.3.1.41,R04968,substrate,C01209
K00647,2.3.1.41,R04968,product,C05762
K00647,2.3.1.41,R04968,product,C00011
K00647,2.3.1.41,R04968,product,C00229
K00647,2.3.1.41,R07762,substrate,C05764
K00647,2.3.1.41,R07762,substrate,C01209
K00647,2.3.1.41,R07762,product,C16219
K00647,2.3.1.41,R07762,product,C00229
K00647,2.3.1.41,R07762,product,C00011
K00647,2.3.1.41,R10115,substrate,C19673
K00647,2.3.1.41,R10115,substrate,C01209
K00647,2.3.1.41,R10115,product,C20372
K00647,2.3.1.41,R10115,product,C00011
K00647,2.3.1.41,R10115,product,C00229
K00647,2.3.1.41,R10119,substrate,C20375
K00647,2.3.1.41,R10119,substrate,C01209
K00647,2.3.1.41,R10119,product,C20376
K00647,2.3.1.41,R10119,product,C00011
K00647,2.3.1.41,R10119,product,C00229
K00337,7.1.1.2,R11945,substrate,C00399
K00337,7.1.1.2,R11945,substrate,C00004
K00337,7.1.1.2,R11945,substrate,C00080
K00337,7.1.1.2,R11945,product,C00390
K00337,7.1.1.2,R11945,product,C00003
K00337,7.1.1.2,R11945,product,C00080
K01805,5.3.1.5,R00307,substrate,C00267
K01805,5.3.1.5,R00307,product,C22502
K01805,5.3.1.5,R00878,substrate,C00267
K01805,5.3.1.5,R00878,product,C00095
K01805,5.3.1.5,R01432,substrate,C00181
K01805,5.3.1.5,R01432,product,C00310
K01805,5.3.1.5,R12986,substrate,C02205
K01805,5.3.1.5,R12986,product,C22501
K25657,2.7.1.32,R01021,substrate,C00002
K25657,2.7.1.32,R01021,substrate,C00114
K25657,2.7.1.32,R01021,product,C00008
K25657,2.7.1.32,R01021,product,C00588
K01887,6.1.1.19,R03646,substrate,C00002
K01887,6.1.1.19,R03646,substrate,C00062
K01887,6.1.1.19,R03646,substrate,C01636
K01887,6.1.1.19,R03646,product,C00020
K01887,6.1.1.19,R03646,product,C00013
K01887,6.1.1.19,R03646,product,C02163
K24300,4.2.1.135,R10266,substrate,C00043
K24300,4.2.1.135,R10266,product,C04613
K24300,4.2.1.135,R10266,product,C00001
K19005,2.7.8.20,R05081,substrate,C00344
K19005,2.7.8.20,R05081,substrate,C06040
K19005,2.7.8.20,R05081,product,C00641
K19005,2.7.8.20,R05081,product,C06041
K19005,2.7.8.20,R10849,substrate,C00344
K19005,2.7.8.20,R10849,substrate,C06365
K19005,2.7.8.20,R10849,product,C00641
K19005,2.7.8.20,R10849,product,C20897
K19005,2.7.8.20,R12813,substrate,n C00344
K19005,2.7.8.20,R12813,substrate,G13189
K19005,2.7.8.20,R12813,product,n C00641
K19005,2.7.8.20,R12813,product,G13190
K19005,2.7.8.20,R12900,substrate,C00344
K19005,2.7.8.20,R12900,substrate,G13182
K19005,2.7.8.20,R12900,product,C00641
K19005,2.7.8.20,R12900,product,G13183
K19005,2.7.8.20,R12901,substrate,n C00344
K19005,2.7.8.20,R12901,substrate,G13183
K19005,2.7.8.20,R12901,product,n C00641
K19005,2.7.8.20,R12901,product,G13184
K01428,3.5.1.5,R00131,substrate,C00086
K01428,3.5.1.5,R00131,substrate,C00001
K01428,3.5.1.5,R00131,product,C00011
K01428,3.5.1.5,R00131,product,C00014
K01428,3.5.1.5,R13420,substrate,C00086
K01428,3.5.1.5,R13420,substrate,C00001
K01428,3.5.1.5,R13420,product,C00288
K01428,3.5.1.5,R13420,product,C00014
K01758,4.4.1.1,R00782,substrate,C00097
K01758,4.4.1.1,R00782,substrate,C00001
K01758,4.4.1.1,R00782,product,C00283
K01758,4.4.1.1,R00782,product,C00022
K01758,4.4.1.1,R00782,product,C00014
K01758,4.4.1.1,R01001,substrate,C02291
K01758,4.4.1.1,R01001,substrate,C00001
K01758,4.4.1.1,R01001,product,C00097
K01758,4.4.1.1,R01001,product,C00014
K01758,4.4.1.1,R01001,product,C00109
K01758,4.4.1.1,R02408,substrate,C00491
K01758,4.4.1.1,R02408,substrate,C00001
K01758,4.4.1.1,R02408,product,C00022
K01758,4.4.1.1,R02408,product,C00014
K01758,4.4.1.1,R02408,product,C01962
K01758,4.4.1.1,R04770,substrate,C05335
K01758,4.4.1.1,R04770,substrate,C00001
K01758,4.4.1.1,R04770,product,C05703
K01758,4.4.1.1,R04770,product,C00014
K01758,4.4.1.1,R04770,product,C00109
K01758,4.4.1.1,R04930,substrate,C05699
K01758,4.4.1.1,R04930,substrate,C00001
K01758,4.4.1.1,R04930,product,C05688
K01758,4.4.1.1,R04930,product,C00014
K01758,4.4.1.1,R04930,product,C00109
K01758,4.4.1.1,R09366,substrate,C05689
K01758,4.4.1.1,R09366,substrate,C00001
K01758,4.4.1.1,R09366,product,C00022
K01758,4.4.1.1,R09366,product,C00014
K01758,4.4.1.1,R09366,product,C05703
K03594,1.16.3.1,R00078,substrate,C00007
K03594,1.16.3.1,R00078,substrate,C14818
K03594,1.16.3.1,R00078,substrate,C00080
K03594,1.16.3.1,R00078,product,C14819
K03594,1.16.3.1,R00078,product,C00001
K05851,4.6.1.1,R00089,substrate,C00002
K05851,4.6.1.1,R00089,product,C00575
K05851,4.6.1.1,R00089,product,C00013
K05851,4.6.1.1,R00434,substrate,C00044
K05851,4.6.1.1,R00434,product,C00942
K05851,4.6.1.1,R00434,product,C00013
K14155,4.4.1.13,R00782,substrate,C00097
K14155,4.4.1.13,R00782,substrate,C00001
K14155,4.4.1.13,R00782,product,C00283
K14155,4.4.1.13,R00782,product,C00022
K14155,4.4.1.13,R00782,product,C00014
K14155,4.4.1.13,R01286,substrate,C02291
K14155,4.4.1.13,R01286,substrate,C00001
K14155,4.4.1.13,R01286,product,C00155
K14155,4.4.1.13,R01286,product,C00014
K14155,4.4.1.13,R01286,product,C00022
K14155,4.4.1.13,R02408,substrate,C00491
K14155,4.4.1.13,R02408,substrate,C00001
K14155,4.4.1.13,R02408,product,C00022
K14155,4.4.1.13,R02408,product,C00014
K14155,4.4.1.13,R02408,product,C01962
K14155,4.4.1.13,R04941,substrate,C05699
K14155,4.4.1.13,R04941,substrate,C00001
K14155,4.4.1.13,R04941,product,C05698
K14155,4.4.1.13,R04941,product,C00014
K14155,4.4.1.13,R04941,product,C00022
K14155,4.4.1.13,R12188,substrate,C02882
K14155,4.4.1.13,R12188,substrate,C00001
K14155,4.4.1.13,R12188,product,C00145
K14155,4.4.1.13,R12188,product,C00014
K14155,4.4.1.13,R12188,product,C00022
K00432,1.11.1.9,R00274,substrate,C00027
K00432,1.11.1.9,R00274,substrate,C00051
K00432,1.11.1.9,R00274,product,C00127
K00432,1.11.1.9,R00274,product,C00001
K00652,2.3.1.47,R03210,substrate,C01063
K00652,2.3.1.47,R03210,substrate,C00041
K00652,2.3.1.47,R03210,product,C01092
K00652,2.3.1.47,R03210,product,C00010
K00652,2.3.1.47,R03210,product,C00011
K00652,2.3.1.47,R10124,substrate,C19845
K00652,2.3.1.47,R10124,substrate,C00041
K00652,2.3.1.47,R10124,product,C01092
K00652,2.3.1.47,R10124,product,C00229
K00652,2.3.1.47,R10124,product,C00011
K00116,1.1.5.4,R00360,substrate,C00149
K00116,1.1.5.4,R00360,substrate,C00007
K00116,1.1.5.4,R00360,product,C00036
K00116,1.1.5.4,R00360,product,C00027
K00116,1.1.5.4,R00361,substrate,C00149
K00116,1.1.5.4,R00361,substrate,C15602
K00116,1.1.5.4,R00361,product,C00036
K00116,1.1.5.4,R00361,product,C15603
K00116,1.1.5.4,R01257,substrate,C00149
K00116,1.1.5.4,R01257,substrate,C00016
K00116,1.1.5.4,R01257,product,C00036
K00116,1.1.5.4,R01257,product,C01352
K21936,2.1.1.342,R11700,substrate,C00019
K21936,2.1.1.342,R11700,substrate,C00032
K21936,2.1.1.342,R11700,substrate,C02745
K21936,2.1.1.342,R11700,product,C00021
K21936,2.1.1.342,R11700,product,C00073
K21936,2.1.1.342,R11700,product,C05198
K21936,2.1.1.342,R11700,product,C21603
K21936,2.1.1.342,R11700,product,C14818
K21936,2.1.1.342,R11700,product,C02869
K00684,2.3.2.6,R03813,substrate,C02047
K00684,2.3.2.6,R03813,substrate,C00017
K00684,2.3.2.6,R03813,product,C01645
K00684,2.3.2.6,R03813,product,C02429
K00684,2.3.2.6,R11443,substrate,C02047
K00684,2.3.2.6,R11443,substrate,C21388
K00684,2.3.2.6,R11443,product,C01645
K00684,2.3.2.6,R11443,product,C21387
K00684,2.3.2.6,R11444,substrate,C02047
K00684,2.3.2.6,R11444,substrate,C16739
K00684,2.3.2.6,R11444,product,C01645
K00684,2.3.2.6,R11444,product,C21386
K00450,1.13.11.4,R02656,substrate,C00628
K00450,1.13.11.4,R02656,substrate,C00007
K00450,1.13.11.4,R02656,product,C02167
K27502,1.5.1.55,R13291,substrate,C22886
K27502,1.5.1.55,R13291,substrate,C00006
K27502,1.5.1.55,R13291,substrate,C00001
K27502,1.5.1.55,R13291,product,C00179
K27502,1.5.1.55,R13291,product,C00441
K27502,1.5.1.55,R13291,product,C00005
K27502,1.5.1.55,R13291,product,C00080
K19668,3.2.1.91,R02886,substrate,C00760
K19668,3.2.1.91,R02886,substrate,C00001
K19668,3.2.1.91,R02886,product,C00760
K19668,3.2.1.91,R02886,product,C00185
K19668,3.2.1.91,R11308,substrate,C01898
K19668,3.2.1.91,R11308,product,C00185
K00052,1.1.1.85,R00994,substrate,C00109
K00052,1.1.1.85,R00994,substrate,C00011
K00052,1.1.1.85,R00994,substrate,C00004
K00052,1.1.1.85,R00994,substrate,C00080
K00052,1.1.1.85,R00994,product,C06032
K00052,1.1.1.85,R00994,product,C00003
K00052,1.1.1.85,R04426,substrate,C04411
K00052,1.1.1.85,R04426,substrate,C00003
K00052,1.1.1.85,R04426,product,C04236
K00052,1.1.1.85,R04426,product,C00004
K00052,1.1.1.85,R04426,product,C00080
K00052,1.1.1.85,R10052,substrate,C04411
K00052,1.1.1.85,R10052,substrate,C00003
K00052,1.1.1.85,R10052,product,C00233
K00052,1.1.1.85,R10052,product,C00011
K00052,1.1.1.85,R10052,product,C00004
K00052,1.1.1.85,R10052,product,C00080
K11211,2.7.1.166,R09767,substrate,C06024
K11211,2.7.1.166,R09767,substrate,C00002
K11211,2.7.1.166,R09767,product,C19877
K11211,2.7.1.166,R09767,product,C00008
K05928,2.1.1.95,R07236,substrate,C00019
K05928,2.1.1.95,R07236,substrate,C02483
K05928,2.1.1.95,R07236,product,C00021
K05928,2.1.1.95,R07236,product,C02477
K05928,2.1.1.95,R07504,substrate,C14151
K05928,2.1.1.95,R07504,substrate,C00019
K05928,2.1.1.95,R07504,product,C14152
K05928,2.1.1.95,R07504,product,C00021
K05928,2.1.1.95,R10491,substrate,C00019
K05928,2.1.1.95,R10491,substrate,C14155
K05928,2.1.1.95,R10491,product,C00021
K05928,2.1.1.95,R10491,product,C14153
K05928,2.1.1.95,R10492,substrate,C00019
K05928,2.1.1.95,R10492,substrate,C14156
K05928,2.1.1.95,R10492,product,C00021
K05928,2.1.1.95,R10492,product,C14154
K10855,6.4.1.6,R05735,substrate,C00207
K10855,6.4.1.6,R05735,substrate,C00288
K10855,6.4.1.6,R05735,substrate,C00002
K10855,6.4.1.6,R05735,substrate,C00001
K10855,6.4.1.6,R05735,product,C00164
K10855,6.4.1.6,R05735,product,C00020
K10855,6.4.1.6,R05735,product,C00009
K13014,,R07662,substrate,C16156
K13014,,R07662,substrate,C00001
K13014,,R07662,product,C16157
K13014,,R07662,product,C00058
K01582,4.1.1.18,R00462,substrate,C00047
K01582,4.1.1.18,R00462,product,C01672
K01582,4.1.1.18,R00462,product,C00011
K00925,2.7.2.1,R00315,substrate,C00002
K00925,2.7.2.1,R00315,substrate,C00033
K00925,2.7.2.1,R00315,product,C00008
K00925,2.7.2.1,R00315,product,C00227
K00925,2.7.2.1,R01353,substrate,C00002
K00925,2.7.2.1,R01353,substrate,C00163
K00925,2.7.2.1,R01353,product,C00008
K00925,2.7.2.1,R01353,product,C02876
K01200,3.2.1.41,R02111,substrate,C00369
K01200,3.2.1.41,R02111,substrate,C00009
K01200,3.2.1.41,R02111,product,C00718
K01200,3.2.1.41,R02111,product,C00103
K01897,6.2.1.3,R00390,substrate,C00002
K01897,6.2.1.3,R00390,substrate,C00638
K01897,6.2.1.3,R00390,substrate,C00010
K01897,6.2.1.3,R00390,product,C00020
K01897,6.2.1.3,R00390,product,C00013
K01897,6.2.1.3,R00390,product,C02843
K01897,6.2.1.3,R01280,substrate,C00002
K01897,6.2.1.3,R01280,substrate,C00249
K01897,6.2.1.3,R01280,substrate,C00010
K01897,6.2.1.3,R01280,product,C00020
K01897,6.2.1.3,R01280,product,C00154
K01897,6.2.1.3,R01280,product,C00013
K04765,3.6.1.9,R00087,substrate,C00002
K04765,3.6.1.9,R00087,substrate,C00001
K04765,3.6.1.9,R00087,product,C00020
K04765,3.6.1.9,R00087,product,C00013
K04765,3.6.1.9,R00103,substrate,C00003
K04765,3.6.1.9,R00103,substrate,C00001
K04765,3.6.1.9,R00103,product,C00020
K04765,3.6.1.9,R00103,product,C00455
K04765,3.6.1.9,R00287,substrate,C00029
K04765,3.6.1.9,R00287,substrate,C00001
K04765,3.6.1.9,R00287,product,C00105
K04765,3.6.1.9,R00287,product,C00103
K04765,3.6.1.9,R00426,substrate,C00044
K04765,3.6.1.9,R00426,substrate,C00001
K04765,3.6.1.9,R00426,product,C00144
K04765,3.6.1.9,R00426,product,C00013
K04765,3.6.1.9,R00515,substrate,C00063
K04765,3.6.1.9,R00515,substrate,C00001
K04765,3.6.1.9,R00515,product,C00055
K04765,3.6.1.9,R00515,product,C00013
K04765,3.6.1.9,R00662,substrate,C00075
K04765,3.6.1.9,R00662,substrate,C00001
K04765,3.6.1.9,R00662,product,C00105
K04765,3.6.1.9,R00662,product,C00013
K04765,3.6.1.9,R03004,substrate,C00857
K04765,3.6.1.9,R03004,substrate,C00001
K04765,3.6.1.9,R03004,product,C00020
K04765,3.6.1.9,R03004,product,C01185
K04765,3.6.1.9,R03036,substrate,C00882
K04765,3.6.1.9,R03036,substrate,C00001
K04765,3.6.1.9,R03036,product,C01134
K04765,3.6.1.9,R03036,product,C00020
K04765,3.6.1.9,R11323,substrate,C00459
K04765,3.6.1.9,R11323,substrate,C00001
K04765,3.6.1.9,R11323,product,C00364
K04765,3.6.1.9,R11323,product,C00013
K02495,1.3.98.3,R06895,substrate,C03263
K02495,1.3.98.3,R06895,substrate,C00019
K02495,1.3.98.3,R06895,product,C01079
K02495,1.3.98.3,R06895,product,C00011
K02495,1.3.98.3,R06895,product,C00073
K02495,1.3.98.3,R06895,product,C05198
K05825,,R00369,substrate,C00041
K05825,,R00369,substrate,C00048
K05825,,R00369,product,C00022
K05825,,R00369,product,C00037
K05825,,R00372,substrate,C00037
K05825,,R00372,substrate,C00026
K05825,,R00372,product,C00048
K05825,,R00372,product,C00025
K05825,,R01939,substrate,C00956
K05825,,R01939,substrate,C00026
K05825,,R01939,product,C00322
K05825,,R01939,product,C00025
K18118,2.8.3.18,R10343,substrate,C00091
K18118,2.8.3.18,R10343,substrate,C00033
K18118,2.8.3.18,R10343,product,C00024
K18118,2.8.3.18,R10343,product,C00042
K01195,3.2.1.31,R01478,substrate,C00001
K01195,3.2.1.31,R01478,substrate,C03033
K01195,3.2.1.31,R01478,product,C00191
K01195,3.2.1.31,R01478,product,C00069
K01195,3.2.1.31,R04979,substrate,C05787
K01195,3.2.1.31,R04979,substrate,C00001
K01195,3.2.1.31,R04979,substrate,C00030
K01195,3.2.1.31,R04979,product,C05791
K01195,3.2.1.31,R04979,product,C00191
K01195,3.2.1.31,R04979,product,C00028
K01195,3.2.1.31,R07818,substrate,G13040
K01195,3.2.1.31,R07818,substrate,C00001
K01195,3.2.1.31,R07818,product,G09660
K01195,3.2.1.31,R07818,product,C00191
K01195,3.2.1.31,R08127,substrate,C04900
K01195,3.2.1.31,R08127,substrate,C00001
K01195,3.2.1.31,R08127,product,C12632
K01195,3.2.1.31,R08127,product,C00191
K01195,3.2.1.31,R08260,substrate,C11376
K01195,3.2.1.31,R08260,substrate,C00001
K01195,3.2.1.31,R08260,product,C11173
K01195,3.2.1.31,R08260,product,C00191
K01195,3.2.1.31,R10830,substrate,G00526
K01195,3.2.1.31,R10830,substrate,C00001
K01195,3.2.1.31,R10830,product,G00711
K01195,3.2.1.31,R10830,product,C00191
K00763,6.3.4.21,R01724,substrate,C01185
K00763,6.3.4.21,R01724,substrate,C00013
K00763,6.3.4.21,R01724,substrate,C00008
K00763,6.3.4.21,R01724,substrate,C00009
K00763,6.3.4.21,R01724,product,C00253
K00763,6.3.4.21,R01724,product,C00119
K00763,6.3.4.21,R01724,product,C00002
K00763,6.3.4.21,R01724,product,C00001
K00763,6.3.4.21,R01724,product,C00080
K00339,7.1.1.2,R11945,substrate,C00399
K00339,7.1.1.2,R11945,substrate,C00004
K00339,7.1.1.2,R11945,substrate,C00080
K00339,7.1.1.2,R11945,product,C00390
K00339,7.1.1.2,R11945,product,C00003
K00339,7.1.1.2,R11945,product,C00080
K00033,1.1.1.343;1.1.1.44,R01528,substrate,C00345
K00033,1.1.1.343;1.1.1.44,R01528,substrate,C00006
K00033,1.1.1.343;1.1.1.44,R01528,product,C00199
K00033,1.1.1.343;1.1.1.44,R01528,product,C00011
K00033,1.1.1.343;1.1.1.44,R01528,product,C00005
K00033,1.1.1.343;1.1.1.44,R01528,product,C00080
K00033,1.1.1.343;1.1.1.44,R10221,substrate,C00345
K00033,1.1.1.343;1.1.1.44,R10221,substrate,C00003
K00033,1.1.1.343;1.1.1.44,R10221,product,C00199
K00033,1.1.1.343;1.1.1.44,R10221,product,C00011
K00033,1.1.1.343;1.1.1.44,R10221,product,C00004
K00033,1.1.1.343;1.1.1.44,R10221,product,C00080
K01695,4.2.1.20,R00674,substrate,C00065
K01695,4.2.1.20,R00674,substrate,C00463
K01695,4.2.1.20,R00674,product,C00078
K01695,4.2.1.20,R00674,product,C00001
K01695,4.2.1.20,R02340,substrate,C03506
K01695,4.2.1.20,R02340,product,C00463
K01695,4.2.1.20,R02340,product,C00118
K01695,4.2.1.20,R02722,substrate,C00065
K01695,4.2.1.20,R02722,substrate,C03506
K01695,4.2.1.20,R02722,product,C00078
K01695,4.2.1.20,R02722,product,C00118
K01695,4.2.1.20,R02722,product,C00001
K01207,3.2.1.52,R00022,substrate,C01674
K01207,3.2.1.52,R00022,substrate,C00001
K01207,3.2.1.52,R00022,product,C00140
K01207,3.2.1.52,R10831,substrate,G00711
K01207,3.2.1.52,R10831,substrate,C00001
K01207,3.2.1.52,R10831,product,G10008
K01207,3.2.1.52,R10831,product,C00140
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R00215,substrate,C00497
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R00215,substrate,C00003
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R00215,product,C00022
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R00215,product,C00011
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R00215,product,C00004
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R00215,product,C00080
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R01751,substrate,C00898
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R01751,product,C00258
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R01751,product,C00011
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R02545,substrate,C00552
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R02545,substrate,C00003
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R02545,product,C03459
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R02545,product,C00004
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R02545,product,C00080
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R06180,substrate,C00898
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R06180,substrate,C00003
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R06180,product,C03459
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R06180,product,C00004
K07246,1.1.1.83;1.1.1.93;4.1.1.73,R06180,product,C00080
K01438,3.5.1.16,R00669,substrate,C00437
K01438,3.5.1.16,R00669,substrate,C00001
K01438,3.5.1.16,R00669,product,C00033
K01438,3.5.1.16,R00669,product,C00077
K01438,3.5.1.16,R09107,substrate,C15532
K01438,3.5.1.16,R09107,substrate,C00001
K01438,3.5.1.16,R09107,product,C00033
K01438,3.5.1.16,R09107,product,C00327
K15372,2.6.1.55,R00908,substrate,C00099
K15372,2.6.1.55,R00908,substrate,C00026
K15372,2.6.1.55,R00908,product,C00222
K15372,2.6.1.55,R00908,product,C00025
K15372,2.6.1.55,R01684,substrate,C00245
K15372,2.6.1.55,R01684,substrate,C00026
K15372,2.6.1.55,R01684,product,C00593
K15372,2.6.1.55,R01684,product,C00025
K00174,1.2.7.11;1.2.7.3,R01196,substrate,C00138
K00174,1.2.7.11;1.2.7.3,R01196,substrate,C00024
K00174,1.2.7.11;1.2.7.3,R01196,substrate,C00011
K00174,1.2.7.11;1.2.7.3,R01196,substrate,C00080
K00174,1.2.7.11;1.2.7.3,R01196,product,C00139
K00174,1.2.7.11;1.2.7.3,R01196,product,C00022
K00174,1.2.7.11;1.2.7.3,R01196,product,C00010
K00174,1.2.7.11;1.2.7.3,R01197,substrate,C00138
K00174,1.2.7.11;1.2.7.3,R01197,substrate,C00091
K00174,1.2.7.11;1.2.7.3,R01197,substrate,C00011
K00174,1.2.7.11;1.2.7.3,R01197,substrate,C00080
K00174,1.2.7.11;1.2.7.3,R01197,product,C00139
K00174,1.2.7.11;1.2.7.3,R01197,product,C00026
K00174,1.2.7.11;1.2.7.3,R01197,product,C00010
K00425,7.1.1.7,R11325,substrate,C00390
K00425,7.1.1.7,R11325,substrate,C00007
K00425,7.1.1.7,R11325,substrate,C00080
K00425,7.1.1.7,R11325,product,C00399
K00425,7.1.1.7,R11325,product,C00001
K00425,7.1.1.7,R11325,product,C00080
K00793,2.5.1.9,R00066,substrate,C04332
K00793,2.5.1.9,R00066,product,C00255
K00793,2.5.1.9,R00066,product,C04732
K00075,1.3.1.98,R03191,substrate,C01050
K00075,1.3.1.98,R03191,substrate,C00003
K00075,1.3.1.98,R03191,product,C04631
K00075,1.3.1.98,R03191,product,C00004
