KO,EC,Reaction,role,metabolite
K00147,1.2.1.41,R03313,product,C03287
K00147,1.2.1.41,R03313,product,C00005
K00147,1.2.1.41,R03313,product,C00080
K05989,3.2.1.40,R13063,substrate,C05625
K05989,3.2.1.40,R13063,substrate,C00001
K05989,3.2.1.40,R13063,product,C05623
K05989,3.2.1.40,R13063,product,C02338
K05989,3.2.1.40,R13064,substrate,C09789
K05989,3.2.1.40,R13064,substrate,C00001
K05989,3.2.1.40,R13064,product,C09099
K05989,3.2.1.40,R13064,product,C02338
K01744,4.3.1.1,R00490,substrate,C00049
K01744,4.3.1.1,R00490,product,C00122
K01744,4.3.1.1,R00490,product,C00014
K12524,1.1.1.3;2.7.2.4,R00480,substrate,C00002
K12524,1.1.1.3;2.7.2.4,R00480,substrate,C00049
K12524,1.1.1.3;2.7.2.4,R00480,product,C00008
K12524,1.1.1.3;2.7.2.4,R00480,product,C03082
K12524,1.1.1.3;2.7.2.4,R01773,substrate,C00263
K12524,1.1.1.3;2.7.2.4,R01773,substrate,C00003
K12524,1.1.1.3;2.7.2.4,R01773,product,C00441
K12524,1.1.1.3;2.7.2.4,R01773,product,C00004
K12524,1.1.1.3;2.7.2.4,R01773,product,C00080
K12524,1.1.1.3;2.7.2.4,R01775,substrate,C00263
K12524,1.1.1.3;2.7.2.4,R01775,substrate,C00006
K12524,1.1.1.3;2.7.2.4,R01775,product,C00441
K12524,1.1.1.3;2.7.2.4,R01775,product,C00005
K12524,1.1.1.3;2.7.2.4,R01775,product,C00080
K03856,2.5.1.54,R01826,substrate,C00074
K03856,2.5.1.54,R01826,substrate,C00279
K03856,2.5.1.54,R01826,substrate,C00001
K03856,2.5.1.54,R01826,product,C04691
K03856,2.5.1.54,R01826,product,C00009
K06016,3.5.1.6;3.5.1.87,R00905,substrate,C02642
K06016,3.5.1.6;3.5.1.87,R00905,substrate,C00001
K06016,3.5.1.6;3.5.1.87,R00905,product,C00099
K06016,3.5.1.6;3.5.1.87,R00905,product,C00011
K06016,3.5.1.6;3.5.1.87,R00905,product,C00014
K06016,3.5.1.6;3.5.1.87,R04666,substrate,C21029
K06016,3.5.1.6;3.5.1.87,R04666,substrate,C00001
K06016,3.5.1.6;3.5.1.87,R04666,product,C01205
K06016,3.5.1.6;3.5.1.87,R04666,product,C00011
